Ally Financial Price to Free Cash Flow Ratio Historical Data,Ally Financial Price to Free Cash Flow Ratio Historical Data,Ally Financial Price to Free Cash Flow Ratio Historical Data,Ally Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.12,,2.47
2024-12-31,36.01,$14.60,2.47
2024-09-30,35.28,$12.19,2.89
2024-06-30,39.05,$14.43,2.71
2024-03-31,39.65,$14.56,2.72
2023-12-31,33.83,$14.93,2.27
2023-09-30,25.53,$18.55,1.38
2023-06-30,25.6,$18.80,1.36
2023-03-31,23.89,$19.47,1.23
2022-12-31,22.7,$19.61,1.16
2022-09-30,25.56,$18.91,1.35
2022-06-30,30.5,$17.44,1.75
2022-03-31,39.28,$12.83,3.06
2021-12-31,42.74,$11.07,3.86
2021-09-30,45.59,$11.53,3.96
2021-06-30,44.3,$11.17,3.97
2021-03-31,40.04,$10.85,3.69
2020-12-31,31.42,$9.92,3.17
2020-09-30,21.93,$9.17,2.39
2020-06-30,17.19,$8.72,1.97
2020-03-31,12.37,$9.75,1.27
2019-12-31,26.03,$10.24,2.54
2019-09-30,28.09,$9.81,2.86
2019-06-30,26.12,$9.67,2.7
2019-03-31,23.04,$9.87,2.33
2018-12-31,18.87,$9.70,1.94
2018-09-30,21.89,$9.35,2.34
2018-06-30,21.62,$9.09,2.38
2018-03-31,22.24,$8.94,2.49
2017-12-31,23.78,$8.96,2.65
2017-09-30,19.69,$9.53,2.07
2017-06-30,16.88,$8.97,1.88
2017-03-31,16.35,$9.51,1.72
2016-12-31,15.24,$9.47,1.61
2016-09-30,15.53,$9.81,1.58
2016-06-30,13.55,$11.99,1.13
2016-03-31,14.86,$12.55,1.18
2015-12-31,14.8,$10.58,1.4
2015-09-30,16.18,$10.16,1.59
2015-06-30,17.81,$7.53,2.36
2015-03-31,16.66,$5.63,2.96
2014-12-31,18.76,$7.06,2.66
