PlayAGS Price to Free Cash Flow Ratio Historical Data,PlayAGS Price to Free Cash Flow Ratio Historical Data,PlayAGS Price to Free Cash Flow Ratio Historical Data,PlayAGS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.14,,8.96
2024-12-31,11.53,$1.35,8.51
2024-09-30,11.39,$1.49,7.63
2024-06-30,11.5,$1.75,6.56
2024-03-31,8.98,$1.80,4.98
2023-12-31,8.43,$1.25,6.73
2023-09-30,6.52,$1.13,5.77
2023-06-30,5.65,$0.71,7.98
2023-03-31,7.15,$0.69,10.35
2022-12-31,5.1,$0.79,6.42
2022-09-30,5.3,$0.84,6.31
2022-06-30,5.16,$0.95,5.42
2022-03-31,6.67,$1.04,6.43
2021-12-31,6.79,$1.15,5.89
2021-09-30,7.88,$0.96,8.23
2021-06-30,9.9,$0.97,10.21
2021-03-31,8.08,$0.11,71.0
2020-12-31,7.2,$0.37,19.35
2020-09-30,3.54,$0.61,5.79
2020-06-30,3.38,$0.67,5.01
2020-03-31,2.65,$1.52,1.74
2019-12-31,12.13,$1.07,11.3
2019-09-30,10.28,$1.01,10.22
2019-06-30,19.45,$1.07,18.17
2019-03-31,23.93,$1.07,22.45
2018-12-31,23.0,$-0.25,0.0
