Karyopharm Therapeutics Price to Free Cash Flow Ratio Historical Data,Karyopharm Therapeutics Price to Free Cash Flow Ratio Historical Data,Karyopharm Therapeutics Price to Free Cash Flow Ratio Historical Data,Karyopharm Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.14,,0.0
2024-12-31,0.68,$-15.09,0.0
2024-09-30,0.83,$-14.67,0.0
2024-06-30,0.87,$-14.32,0.0
2024-03-31,1.51,$-15.38,0.0
2023-12-31,0.87,$-12.17,0.0
2023-09-30,1.34,$-14.17,0.0
2023-06-30,1.79,$-15.49,0.0
2023-03-31,3.89,$-18.45,0.0
2022-12-31,3.4,$-27.41,0.0
2022-09-30,5.46,$-18.01,0.0
2022-06-30,4.51,$-17.50,0.0
2022-03-31,7.37,$-22.21,0.0
2021-12-31,6.43,$-21.39,0.0
2021-09-30,5.82,$-33.27,0.0
2021-06-30,10.32,$-37.57,0.0
2021-03-31,10.52,$-34.04,0.0
2020-12-31,15.48,$-33.38,0.0
2020-09-30,14.6,$-36.10,0.0
2020-06-30,18.94,$-35.42,0.0
2020-03-31,19.21,$-39.78,0.0
2019-12-31,19.17,$-46.23,0.0
2019-09-30,9.62,$-51.45,0.0
2019-06-30,5.99,$-51.38,0.0
2019-03-31,5.84,$-48.47,0.0
2018-12-31,9.37,$-42.64,0.0
2018-09-30,17.03,$-30.18,0.0
2018-06-30,16.99,$-28.44,0.0
2018-03-31,13.42,$-25.85,0.0
2017-12-31,9.6,$-24.10,0.0
2017-09-30,10.98,$-29.19,0.0
2017-06-30,9.05,$-30.54,0.0
2017-03-31,12.84,$-32.89,0.0
2016-12-31,9.4,$-33.75,0.0
2016-09-30,9.73,$-35.11,0.0
2016-06-30,6.71,$-37.94,0.0
2016-03-31,8.92,$-41.21,0.0
2015-12-31,13.25,$-40.17,0.0
2015-09-30,10.53,$-38.37,0.0
2015-06-30,27.21,$-35.18,0.0
2015-03-31,30.61,$-29.38,0.0
2014-12-31,37.43,$-26.14,0.0
2014-09-30,34.94,$-94.05,0.0
