Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,600.42,,30.25
2025-01-31,601.51,$19.85,30.31
2024-10-31,610.3,$18.12,33.68
2024-07-31,646.26,$16.32,39.61
2024-04-30,623.68,$17.83,34.98
2024-01-31,628.5,$16.51,38.07
2023-10-31,492.0,$15.39,31.97
2023-07-31,507.76,$16.91,30.02
2023-04-30,439.77,$15.14,29.05
2023-01-31,417.96,$14.16,29.52
2022-10-31,421.9,$13.40,31.49
2022-07-31,449.35,$12.89,34.87
2022-04-30,411.8,$13.83,29.78
2022-01-31,545.24,$10.95,49.8
2021-10-31,614.0,$11.79,52.07
2021-07-31,519.16,$11.45,45.35
2021-04-30,403.28,$10.42,38.71
2021-01-31,352.95,$9.09,38.83
2020-10-31,306.98,$9.28,33.09
2020-07-31,298.35,$8.63,34.59
2020-04-30,262.3,$7.09,36.99
2020-01-31,272.0,$8.23,33.05
2019-10-31,249.32,$8.27,30.17
2019-07-31,267.97,$8.22,32.62
2019-04-30,242.18,$8.56,28.29
2019-01-31,207.81,$7.69,27.02
2018-10-31,202.7,$7.44,27.23
2018-07-31,195.79,$7.62,25.7
2018-04-30,176.81,$6.50,27.22
2018-01-31,160.28,$5.79,27.68
2017-10-31,143.83,$5.87,24.49
2017-07-31,130.32,$5.25,24.85
2017-04-30,118.62,$5.15,23.03
2017-01-31,112.01,$4.36,25.67
2016-10-31,102.42,$3.36,30.48
2016-07-31,104.21,$3.54,29.44
2016-04-30,94.48,$4.16,22.74
2016-01-31,89.19,$3.19,27.98
2015-10-31,90.69,$4.30,21.09
2015-07-31,98.13,$4.64,21.13
2015-04-30,92.86,$4.93,18.84
2015-01-31,80.15,$4.62,17.36
2014-10-31,81.02,$4.55,17.81
2014-07-31,75.24,$4.33,17.38
2014-04-30,69.36,$4.08,17.02
2014-01-31,66.9,$4.05,16.52
2013-10-31,65.06,$3.77,17.27
2013-07-31,58.07,$3.86,15.03
2013-04-30,54.03,$3.82,14.13
2013-01-31,56.37,$3.27,17.22
2012-10-31,53.55,$3.26,16.42
2012-07-31,52.14,$3.48,15.0
2012-04-30,51.96,$3.69,14.07
2012-01-31,50.46,$3.12,16.2
2011-10-31,47.85,$2.96,16.14
2011-07-31,41.5,$2.65,15.67
2011-04-30,49.38,$2.68,18.43
2011-01-31,41.71,$2.27,18.35
2010-10-31,42.64,$2.38,17.92
2010-07-31,35.33,$2.67,13.23
2010-04-30,32.16,$2.94,10.95
2010-01-31,26.32,$2.56,10.27
2009-10-31,25.84,$1.37,18.84
