EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data,EBay Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,66.34,,16.99
2024-12-31,61.95,$3.90,15.87
2024-09-30,64.83,$2.81,23.06
2024-06-30,53.25,$2.95,18.07
2024-03-31,52.06,$3.30,15.8
2023-12-31,42.79,$3.70,11.58
2023-09-30,42.99,$4.62,9.3
2023-06-30,43.34,$4.30,10.08
2023-03-31,42.77,$3.64,11.74
2022-12-31,39.75,$3.23,12.29
2022-09-30,35.11,$2.59,13.57
2022-06-30,39.55,$1.69,23.42
2022-03-31,54.1,$2.86,18.94
2021-12-31,62.57,$3.34,18.75
2021-09-30,65.38,$3.89,16.82
2021-06-30,65.73,$3.61,18.22
2021-03-31,57.17,$3.45,16.55
2020-12-31,46.76,$2.72,17.16
2020-09-30,48.33,$2.67,18.07
2020-06-30,48.51,$3.84,12.62
2020-03-31,27.7,$3.29,8.42
2019-12-31,33.13,$3.04,10.88
2019-09-30,35.62,$3.41,10.43
2019-06-30,35.97,$2.66,13.51
2019-03-31,33.69,$2.13,15.79
2018-12-31,25.37,$2.05,12.35
2018-09-30,29.84,$1.69,17.68
2018-06-30,32.77,$1.97,16.63
2018-03-31,36.37,$2.25,16.14
2017-12-31,34.11,$2.33,14.63
2017-09-30,34.76,$1.98,17.57
2017-06-30,31.56,$1.85,17.06
2017-03-31,30.34,$1.92,15.83
2016-12-31,26.83,$1.92,13.95
2016-09-30,29.73,$2.30,12.96
2016-06-30,21.16,$2.11,10.02
2016-03-31,21.56,$2.35,9.18
2015-12-31,24.83,$2.79,8.89
2015-09-30,22.09,$3.19,6.92
2015-06-30,21.42,$3.94,5.44
2015-03-31,20.51,$4.17,4.91
2014-12-31,19.95,$4.07,4.9
2014-09-30,20.13,$4.42,4.56
2014-06-30,17.8,$4.08,4.36
2014-03-31,19.64,$3.57,5.5
2013-12-31,19.51,$3.30,5.92
2013-09-30,19.84,$2.59,7.66
2013-06-30,18.39,$2.41,7.63
2013-03-31,19.28,$2.22,8.68
2012-12-31,18.13,$1.96,9.26
2012-09-30,17.2,$1.66,10.37
2012-06-30,14.94,$1.46,10.21
2012-03-31,13.12,$1.56,8.39
2011-12-31,10.78,$1.76,6.13
2011-09-30,10.48,$1.73,6.05
2011-06-30,11.47,$1.77,6.5
2011-03-31,11.04,$1.74,6.34
2010-12-31,9.89,$1.52,6.49
2010-09-30,8.68,$1.49,5.81
2010-06-30,6.97,$1.48,4.72
2010-03-31,9.59,$1.55,6.2
2009-12-31,8.37,$1.79,4.66
