Akebia Therapeutics Price to Free Cash Flow Ratio Historical Data,Akebia Therapeutics Price to Free Cash Flow Ratio Historical Data,Akebia Therapeutics Price to Free Cash Flow Ratio Historical Data,Akebia Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.04,,0.0
2024-12-31,1.9,$-0.19,0.0
2024-09-30,1.32,$-0.19,0.0
2024-06-30,1.02,$-0.19,0.0
2024-03-31,1.83,$-0.12,0.0
2023-12-31,1.24,$-0.12,0.0
2023-09-30,1.14,$-0.41,0.0
2023-06-30,0.92,$-0.20,0.0
2023-03-31,0.56,$-0.37,0.0
2022-12-31,0.58,$-0.40,0.0
2022-09-30,0.32,$-0.53,0.0
2022-06-30,0.35,$-0.97,0.0
2022-03-31,0.72,$-1.19,0.0
2021-12-31,2.26,$-1.52,0.0
2021-09-30,2.88,$-1.34,0.0
2021-06-30,3.79,$-1.25,0.0
2021-03-31,3.39,$-0.56,0.0
2020-12-31,2.8,$-0.80,0.0
2020-09-30,2.51,$-1.34,0.0
2020-06-30,13.58,$-1.09,0.0
2020-03-31,7.58,$-1.73,0.0
2019-12-31,6.32,$-2.23,0.0
2019-09-30,3.92,$-2.72,0.0
2019-06-30,4.84,$-3.02,0.0
2019-03-31,8.19,$-2.48,0.0
2018-12-31,5.53,$-1.71,0.0
2018-09-30,8.83,$-0.89,0.0
2018-06-30,9.98,$-1.89,0.0
2018-03-31,9.53,$-1.50,0.0
2017-12-31,14.87,$-1.33,0.0
2017-09-30,19.67,$1.66,11.87
2017-06-30,14.37,$2.10,6.84
2017-03-31,9.2,$0.74,12.46
2016-12-31,10.41,$1.46,7.11
2016-09-30,9.05,$-2.02,0.0
2016-06-30,7.48,$-1.51,0.0
2016-03-31,9.01,$-1.10,0.0
2015-12-31,12.92,$-2.00,0.0
2015-09-30,9.66,$-1.90,0.0
2015-06-30,10.29,$-1.92,0.0
2015-03-31,11.11,$0.54,20.73
2014-12-31,11.64,$-1.80,0.0
