Armstrong World Industries Price to Free Cash Flow Ratio Historical Data,Armstrong World Industries Price to Free Cash Flow Ratio Historical Data,Armstrong World Industries Price to Free Cash Flow Ratio Historical Data,Armstrong World Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,141.07,,29.8
2024-12-31,141.33,$4.73,29.85
2024-09-30,131.17,$3.87,33.89
2024-06-30,112.75,$3.34,33.75
2024-03-31,123.38,$3.52,35.04
2023-12-31,97.43,$3.34,29.16
2023-09-30,71.09,$3.35,21.22
2023-06-30,72.3,$2.73,26.49
2023-03-31,69.85,$2.31,30.3
2022-12-31,67.03,$2.32,28.9
2022-09-30,77.16,$1.94,39.8
2022-06-30,72.81,$1.93,37.66
2022-03-31,87.2,$2.21,39.45
2021-12-31,112.21,$2.24,50.0
2021-09-30,92.06,$2.95,31.26
2021-06-30,103.23,$3.67,28.09
2021-03-31,86.53,$3.71,23.31
2020-12-31,71.27,$3.86,18.44
2020-09-30,65.7,$3.49,18.83
2020-06-30,74.23,$3.11,23.91
2020-03-31,75.42,$2.54,29.72
2019-12-31,89.07,$2.25,39.58
2019-09-30,91.46,$1.80,50.69
2019-06-30,91.93,$1.71,53.62
2019-03-31,75.12,$2.22,33.77
2018-12-31,54.93,$2.52,21.8
2018-09-30,65.51,$3.00,21.86
2018-06-30,59.48,$2.75,21.65
2018-03-31,52.99,$2.06,25.72
2017-12-31,56.99,$1.50,38.06
2017-09-30,48.24,$1.18,40.9
2017-06-30,43.29,$0.90,48.11
2017-03-31,43.34,$0.41,104.74
2016-12-31,39.34,$-1.00,0.0
2016-09-30,38.89,$-1.66,0.0
2016-06-30,36.85,$-1.40,0.0
2016-03-31,39.44,$-0.06,0.0
2015-12-31,37.29,$0.59,63.28
2015-09-30,38.93,$1.42,27.36
2015-06-30,43.45,$1.36,31.91
2015-03-31,46.86,$0.17,268.86
2014-12-31,41.68,$-0.11,0.0
2014-09-30,45.66,$-1.05,0.0
2014-06-30,46.83,$-0.47,0.0
2014-03-31,43.42,$-0.08,0.0
2013-12-31,46.98,$0.13,358.87
2013-09-30,44.82,$0.63,71.69
2013-06-30,38.97,$0.61,63.69
2013-03-31,45.57,$0.67,68.5
2012-12-31,41.37,$0.64,65.11
2012-09-30,37.81,$0.72,52.19
2012-06-30,40.09,$0.42,94.86
2012-03-31,39.77,$0.73,54.57
2011-12-31,30.44,$0.93,32.78
2011-09-30,23.89,$1.14,21.05
2011-06-30,31.61,$1.25,25.22
2011-03-31,32.1,$1.91,16.78
2010-12-31,29.83,$2.15,13.9
2010-09-30,21.55,$2.47,8.74
2010-06-30,15.67,$3.12,5.02
2010-03-31,18.85,$3.13,6.03
2009-12-31,20.21,$2.77,7.31
