United States Steel Price to Free Cash Flow Ratio Historical Data,United States Steel Price to Free Cash Flow Ratio Historical Data,United States Steel Price to Free Cash Flow Ratio Historical Data,United States Steel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.06,,0.0
2024-12-31,33.99,$-5.37,0.0
2024-09-30,35.29,$-5.15,0.0
2024-06-30,37.71,$-3.28,0.0
2024-03-31,40.63,$-2.29,0.0
2023-12-31,48.42,$-1.83,0.0
2023-09-30,32.28,$-0.66,0.0
2023-06-30,24.8,$1.00,24.72
2023-03-31,25.82,$2.77,9.33
2022-12-31,24.74,$6.38,3.88
2022-09-30,17.85,$10.21,1.75
2022-06-30,17.61,$12.24,1.44
2022-03-31,37.04,$13.15,2.82
2021-12-31,23.31,$11.60,2.01
2021-09-30,21.47,$8.76,2.45
2021-06-30,23.45,$5.47,4.29
2021-03-31,25.56,$0.25,100.38
2020-12-31,16.37,$-2.14,0.0
2020-09-30,7.16,$-3.26,0.0
2020-06-30,7.03,$-6.44,0.0
2020-03-31,6.14,$-4.22,0.0
2019-12-31,11.08,$-3.30,0.0
2019-09-30,11.18,$-4.16,0.0
2019-06-30,14.76,$-1.32,0.0
2019-03-31,18.73,$-0.14,0.0
2018-12-31,17.49,$-0.30,0.0
2018-09-30,29.17,$0.88,33.07
2018-06-30,33.2,$0.66,50.18
2018-03-31,33.58,$1.17,28.71
2017-12-31,33.53,$1.85,18.15
2017-09-30,24.4,$2.41,10.11
2017-06-30,21.01,$2.97,7.07
2017-03-31,32.01,$2.13,15.02
2016-12-31,31.21,$2.94,10.63
2016-09-30,17.79,$1.71,10.39
2016-06-30,15.87,$0.14,111.85
2016-03-31,15.06,$-0.92,0.0
2015-12-31,7.44,$-0.93,0.0
2015-09-30,9.67,$-0.26,0.0
2015-06-30,19.09,$-1.40,0.0
2015-03-31,22.54,$3.80,5.93
2014-12-31,24.65,$7.25,3.4
2014-09-30,36.07,$5.77,6.25
2014-06-30,23.94,$6.68,3.58
2014-03-31,25.34,$1.97,12.86
2013-12-31,27.02,$-0.42,0.0
2013-09-30,18.82,$1.29,14.55
2013-06-30,15.98,$1.58,10.1
2013-03-31,17.74,$2.19,8.11
2012-12-31,21.64,$3.93,5.51
2012-09-30,17.26,$2.32,7.45
2012-06-30,18.61,$1.07,17.45
2012-03-31,26.48,$-0.83,0.0
2011-12-31,23.82,$-4.44,0.0
2011-09-30,19.78,$-4.07,0.0
2011-06-30,41.3,$-4.64,0.0
2011-03-31,48.33,$-6.39,0.0
2010-12-31,52.3,$-6.17,0.0
2010-09-30,39.21,$-7.97,0.0
2010-06-30,34.44,$-8.87,0.0
2010-03-31,56.7,$-7.03,0.0
2009-12-31,49.15,$-2.34,0.0
