Mercurity Fintech Holding Price to Free Cash Flow Ratio Historical Data,Mercurity Fintech Holding Price to Free Cash Flow Ratio Historical Data,Mercurity Fintech Holding Price to Free Cash Flow Ratio Historical Data,Mercurity Fintech Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.17,,0.0
2021-12-31,1268.0,$-0.15,0.0
2021-09-30,904.0,$-0.09,0.0
2021-06-30,2056.0,$-0.09,0.0
2021-03-31,2680.0,$-0.09,0.0
2020-12-31,1220.0,$-0.09,0.0
2020-09-30,872.0,$1.17,743.33
2020-06-30,920.0,0,0.0
2020-03-31,462.32,0,0.0
2019-09-30,760.0,0,0.0
2018-12-31,560.0,$-1.17,0.0
2018-09-30,896.0,$-2.88,0.0
2018-06-30,3440.0,$-2.88,0.0
2018-03-31,6880.0,$-2.88,0.0
2017-12-31,8160.0,$-2.88,0.0
2017-09-30,11760.0,$-2.09,0.0
2017-06-30,17600.0,$-2.09,0.0
2017-03-31,21600.0,$-2.09,0.0
2016-12-31,30080.0,$-2.09,0.0
2016-09-30,31840.0,0,0.0
2016-06-30,29200.0,0,0.0
