Castle Biosciences Price to Free Cash Flow Ratio Historical Data,Castle Biosciences Price to Free Cash Flow Ratio Historical Data,Castle Biosciences Price to Free Cash Flow Ratio Historical Data,Castle Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.07,,16.06
2024-12-31,26.65,$1.25,21.33
2024-09-30,28.52,$1.22,23.33
2024-06-30,21.77,$0.75,29.1
2024-03-31,22.15,$-0.22,0.0
2023-12-31,21.58,$-0.72,0.0
2023-09-30,16.89,$-1.58,0.0
2023-06-30,13.72,$-1.94,0.0
2023-03-31,22.72,$-2.03,0.0
2022-12-31,23.54,$-1.81,0.0
2022-09-30,26.08,$-1.65,0.0
2022-06-30,21.95,$-1.66,0.0
2022-03-31,44.86,$-1.58,0.0
2021-12-31,42.87,$-0.89,0.0
2021-09-30,66.5,$-0.78,0.0
2021-06-30,73.33,$-0.82,0.0
2021-03-31,68.46,$0.13,509.0
2020-12-31,67.15,$0.27,248.43
2020-09-30,51.45,$0.87,58.83
2020-06-30,37.69,$1.33,28.37
