James Rivers Price to Free Cash Flow Ratio Historical Data,James Rivers Price to Free Cash Flow Ratio Historical Data,James Rivers Price to Free Cash Flow Ratio Historical Data,James Rivers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.9,,0.0
2024-12-31,4.87,$-6.51,0.0
2024-09-30,6.26,$-6.79,0.0
2024-06-30,7.66,$1.46,5.25
2024-03-31,9.15,$2.20,4.16
2023-12-31,9.04,$2.16,4.19
2023-09-30,14.94,$3.50,4.27
2023-06-30,17.71,$3.16,5.61
2023-03-31,19.98,$4.48,4.46
2022-12-31,20.19,$5.70,3.54
2022-09-30,21.97,$6.60,3.33
2022-06-30,23.82,$-19.96,0.0
2022-03-31,23.74,$-21.98,0.0
2021-12-31,27.58,$-26.31,0.0
2021-09-30,35.69,$-30.25,0.0
2021-06-30,35.18,$-7.19,0.0
2021-03-31,42.42,$-9.37,0.0
2020-12-31,45.42,$-8.88,0.0
2020-09-30,40.88,$34.32,1.19
2020-06-30,41.05,$41.88,0.98
2020-03-31,32.83,$45.21,0.73
2019-12-31,37.01,$48.53,0.76
2019-09-30,45.69,$8.32,5.49
2019-06-30,41.57,$6.38,6.51
2019-03-31,35.3,$9.13,3.86
2018-12-31,31.94,$9.57,3.34
2018-09-30,36.95,$11.20,3.3
2018-06-30,33.82,$10.16,3.33
2018-03-31,30.3,$7.96,3.81
2017-12-31,33.89,$6.86,4.94
2017-09-30,34.44,$6.37,5.41
2017-06-30,32.74,$6.30,5.19
2017-03-31,35.05,$5.64,6.21
2016-12-31,33.73,$5.16,6.53
2016-09-30,28.17,$3.32,8.5
2016-06-30,26.29,$3.40,7.73
2016-03-31,24.83,$3.25,7.63
2015-12-31,25.65,$4.09,6.27
2015-09-30,19.82,$8.35,2.37
