Ball Price to Free Cash Flow Ratio Historical Data,Ball Price to Free Cash Flow Ratio Historical Data,Ball Price to Free Cash Flow Ratio Historical Data,Ball Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.57,,0.0
2024-12-31,55.13,$-1.20,0.0
2024-09-30,67.69,$-0.85,0.0
2024-06-30,59.64,$-0.66,0.0
2024-03-31,66.94,$0.12,568.71
2023-12-31,56.98,$2.58,22.08
2023-09-30,49.14,$1.40,34.99
2023-06-30,57.25,$-1.16,0.0
2023-03-31,53.99,$-2.59,0.0
2022-12-31,49.92,$-4.22,0.0
2022-09-30,47.0,$-3.60,0.0
2022-06-30,66.65,$-1.97,0.0
2022-03-31,86.98,$-0.96,0.0
2021-12-31,92.84,$0.10,905.71
2021-09-30,86.57,$0.99,87.86
2021-06-30,77.8,$1.24,62.81
2021-03-31,81.22,$1.21,66.99
2020-12-31,89.16,$0.96,93.02
2020-09-30,79.41,$1.10,72.27
2020-06-30,66.26,$0.81,81.75
2020-03-31,61.53,$0.85,72.59
2019-12-31,61.41,$2.79,21.98
2019-09-30,68.98,$1.63,42.28
2019-06-30,66.18,$2.09,31.63
2019-03-31,54.58,$2.19,24.96
2018-12-31,43.29,$2.13,20.34
2018-09-30,41.34,$2.81,14.71
2018-06-30,33.33,$2.50,13.35
2018-03-31,37.13,$3.17,11.72
2017-12-31,35.3,$2.58,13.67
2017-09-30,38.42,$2.01,19.14
2017-06-30,39.17,$-0.40,0.0
2017-03-31,34.37,$-0.90,0.0
2016-12-31,34.68,$-1.28,0.0
2016-09-30,37.8,$-1.49,0.0
2016-06-30,33.29,$0.94,35.3
2016-03-31,32.77,$0.86,37.9
2015-12-31,33.36,$1.70,19.64
2015-09-30,28.48,$1.62,17.53
2015-06-30,32.06,$1.86,17.25
2015-03-31,32.22,$1.85,17.4
2014-12-31,31.04,$2.18,14.24
2014-09-30,28.75,$2.61,11.03
2014-06-30,28.43,$2.76,10.29
2014-03-31,24.8,$2.21,11.2
2013-12-31,23.32,$1.54,15.11
2013-09-30,20.21,$1.50,13.47
2013-06-30,18.65,$0.98,19.08
2013-03-31,21.3,$1.29,16.49
2012-12-31,19.98,$1.73,11.52
2012-09-30,18.84,$1.72,10.93
2012-06-30,18.24,$1.45,12.59
2012-03-31,19.01,$1.07,17.73
2011-12-31,15.79,$1.50,10.55
2011-09-30,13.69,$0.41,33.19
2011-06-30,16.94,$0.67,25.22
2011-03-31,15.76,$1.04,15.15
2010-12-31,14.93,$0.72,20.68
2010-09-30,12.89,$2.01,6.42
2010-06-30,11.55,$1.17,9.86
2010-03-31,11.65,$1.24,9.38
2009-12-31,11.26,$1.06,10.65
