Digital Brands Price to Free Cash Flow Ratio Historical Data,Digital Brands Price to Free Cash Flow Ratio Historical Data,Digital Brands Price to Free Cash Flow Ratio Historical Data,Digital Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-27,1.3,,0.02
2024-09-30,0.34,$79.95,0.0
2024-06-30,1.47,$-787.05,0.0
2024-03-31,4.16,$-381.33,0.0
2023-12-31,3.27,$-711.90,0.0
2023-09-30,8.43,$-808.02,0.0
2023-06-30,0.66,$-340.08,0.0
2023-03-31,1.32,$-719.29,0.0
2022-12-31,4.22,$-351.35,0.0
2022-09-30,9.4,$-501.09,0.0
2022-06-30,19.49,$-204.39,0.0
2022-03-31,190.0,$-191.99,0.0
