Clearfield Price to Free Cash Flow Ratio Historical Data,Clearfield Price to Free Cash Flow Ratio Historical Data,Clearfield Price to Free Cash Flow Ratio Historical Data,Clearfield Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.55,,46.81
2024-12-31,31.0,$0.67,45.99
2024-09-30,38.96,$0.87,44.89
2024-06-30,38.56,$0.41,93.25
2024-03-31,30.84,$0.33,92.67
2023-12-31,29.08,$1.30,22.41
2023-09-30,28.66,$0.67,42.85
2023-06-30,47.35,$1.12,42.46
2023-03-31,46.58,$1.01,45.91
2022-12-31,94.14,$-0.42,0.0
2022-09-30,104.64,$-0.50,0.0
2022-06-30,61.95,$-1.01,0.0
2022-03-31,65.22,$-0.95,0.0
2021-12-31,84.42,$0.32,262.17
2021-09-30,44.15,$0.64,68.71
2021-06-30,37.45,$0.78,47.98
2021-03-31,30.13,$0.71,42.45
2020-12-31,24.72,$0.59,41.81
2020-09-30,20.17,$0.36,56.74
2020-06-30,13.96,$0.40,35.06
2020-03-31,11.85,$0.40,29.48
2019-12-31,13.94,$0.35,39.31
2019-09-30,11.85,$0.91,13.04
2019-06-30,13.25,$0.58,22.9
2019-03-31,14.7,$0.71,20.56
2018-12-31,9.92,$0.61,16.19
2018-09-30,13.45,$0.26,52.58
2018-06-30,11.05,$0.51,21.87
2018-03-31,12.9,$0.52,24.77
2017-12-31,12.25,$0.53,23.23
2017-09-30,13.6,$0.31,43.4
2017-06-30,13.2,$0.37,35.94
2017-03-31,16.45,$0.46,35.58
2016-12-31,20.7,$0.50,41.38
2016-09-30,18.8,$0.73,25.68
2016-06-30,17.89,$0.59,30.58
2016-03-31,16.07,$0.40,40.19
2015-12-31,13.41,$0.38,35.49
2015-09-30,13.43,$0.18,75.75
2015-06-30,15.91,$-0.02,0.0
2015-03-31,14.82,$-0.02,0.0
2014-12-31,12.31,$0.20,61.49
2014-09-30,12.73,$0.75,17.06
2014-06-30,16.79,$0.96,17.5
2014-03-31,23.09,$0.98,23.54
2013-12-31,20.24,$0.76,26.73
2013-09-30,13.43,$0.25,52.79
2013-06-30,9.42,$0.30,31.42
2013-03-31,6.0,$0.26,23.06
2012-12-31,4.49,$0.20,22.51
2012-09-30,5.11,$0.26,19.95
2012-06-30,4.81,$0.21,23.26
2012-03-31,5.43,$0.29,18.54
2011-12-31,7.61,$0.34,22.69
2011-09-30,5.9,$0.41,14.27
2011-06-30,7.17,$0.27,26.85
2011-03-31,5.09,$0.19,26.57
2010-12-31,4.05,$0.16,24.8
2010-09-30,2.93,$0.01,204.9
2010-06-30,2.57,$0.06,43.05
2010-03-31,2.77,$0.08,35.97
2009-12-31,2.6,$0.14,19.06
