Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data,Progressive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,274.62,,10.82
2024-12-31,239.61,$25.37,9.44
2024-09-30,253.66,$24.45,10.37
2024-06-30,207.53,$22.44,9.25
2024-03-31,206.54,$20.79,9.93
2023-12-31,158.27,$17.77,8.91
2023-09-30,138.32,$15.27,9.06
2023-06-30,131.34,$12.78,10.28
2023-03-31,141.85,$11.18,12.69
2022-12-31,128.52,$11.23,11.45
2022-09-30,115.05,$10.37,11.09
2022-06-30,115.01,$11.07,10.39
2022-03-31,112.66,$12.69,8.88
2021-12-31,101.35,$12.92,7.85
2021-09-30,87.85,$14.81,5.93
2021-06-30,95.35,$13.25,7.2
2021-03-31,92.73,$13.12,7.07
2020-12-31,91.46,$11.41,8.02
2020-09-30,87.47,$10.64,8.22
2020-06-30,73.93,$11.11,6.65
2020-03-31,68.05,$9.74,6.99
2019-12-31,64.63,$10.14,6.38
2019-09-30,68.88,$10.01,6.88
2019-06-30,71.18,$9.94,7.16
2019-03-31,64.11,$10.42,6.15
2018-12-31,53.65,$10.27,5.22
2018-09-30,63.18,$9.43,6.7
2018-06-30,52.6,$8.60,6.12
2018-03-31,54.19,$7.25,7.48
2017-12-31,49.06,$6.17,7.95
2017-09-30,42.18,$6.03,6.99
2017-06-30,38.4,$5.17,7.43
2017-03-31,34.13,$4.86,7.03
2016-12-31,30.36,$4.31,7.04
2016-09-30,26.94,$3.78,7.14
2016-06-30,28.65,$3.85,7.45
2016-03-31,30.05,$3.73,8.06
2015-12-31,26.43,$3.69,7.17
2015-09-30,25.46,$3.59,7.09
2015-06-30,23.13,$3.40,6.81
2015-03-31,22.6,$2.92,7.75
2014-12-31,21.85,$2.73,8.01
2014-09-30,20.47,$2.87,7.13
2014-06-30,20.53,$2.83,7.26
2014-03-31,19.61,$2.85,6.87
2013-12-31,20.74,$2.92,7.1
2013-09-30,20.71,$2.69,7.69
2013-06-30,19.33,$2.57,7.52
2013-03-31,19.22,$2.61,7.35
2012-12-31,15.85,$2.58,6.15
2012-09-30,14.89,$2.56,5.82
2012-06-30,14.95,$2.47,6.05
2012-03-31,16.64,$2.35,7.09
2011-12-31,13.73,$2.23,6.15
2011-09-30,12.5,$2.24,5.57
2011-06-30,15.04,$2.22,6.78
2011-03-31,14.87,$2.47,6.03
2010-12-31,13.71,$2.45,5.6
2010-09-30,13.7,$2.57,5.32
2010-06-30,12.29,$2.56,4.8
2010-03-31,12.53,$2.32,5.4
2009-12-31,11.7,$2.12,5.53
