Pulmonx Price to Free Cash Flow Ratio Historical Data,Pulmonx Price to Free Cash Flow Ratio Historical Data,Pulmonx Price to Free Cash Flow Ratio Historical Data,Pulmonx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.7,,0.0
2024-12-31,6.79,$-0.84,0.0
2024-09-30,8.29,$-0.90,0.0
2024-06-30,6.34,$-0.94,0.0
2024-03-31,9.27,$-0.99,0.0
2023-12-31,12.75,$-1.01,0.0
2023-09-30,10.33,$-1.05,0.0
2023-06-30,13.11,$-1.11,0.0
2023-03-31,11.18,$-1.17,0.0
2022-12-31,8.43,$-1.25,0.0
2022-09-30,16.66,$-1.32,0.0
2022-06-30,14.72,$-1.29,0.0
2022-03-31,24.81,$-1.39,0.0
2021-12-31,32.07,$-1.25,0.0
2021-09-30,35.98,$-4.01,0.0
