Great Elm Price to Free Cash Flow Ratio Historical Data,Great Elm Price to Free Cash Flow Ratio Historical Data,Great Elm Price to Free Cash Flow Ratio Historical Data,Great Elm Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.94,,0.0
2024-12-31,1.81,$-0.19,0.0
2024-09-30,1.91,$-0.52,0.0
2024-06-30,1.8,$-0.52,0.0
2024-03-31,1.92,$-0.58,0.0
2023-12-31,1.94,$-0.76,0.0
2023-09-30,2.14,$-0.28,0.0
2023-06-30,2.05,$-0.06,0.0
2023-03-31,2.27,$0.39,5.8
2022-12-31,2.02,$0.98,2.07
2022-09-30,2.0,$1.15,1.74
2022-06-30,2.15,$1.06,2.02
2022-03-31,1.81,$0.70,2.59
2021-12-31,2.09,$-0.53,0.0
2021-09-30,2.24,$-0.79,0.0
2021-06-30,2.25,$-0.70,0.0
2021-03-31,2.44,$-0.47,0.0
2020-12-31,2.88,$0.37,7.75
2020-09-30,2.36,$0.57,4.14
2020-06-30,2.33,$0.57,4.12
2020-03-31,1.86,$0.24,7.65
2019-12-31,3.34,$0.24,13.89
2019-09-30,3.67,$0.20,18.43
2019-06-30,4.3,$0.11,39.27
2019-03-31,4.25,$0.04,97.93
2018-12-31,3.38,$-0.11,0.0
2018-09-30,3.25,$-0.19,0.0
2018-06-30,3.6,$-0.26,0.0
2018-03-31,4.0,$-0.44,0.0
2017-12-31,4.05,$-0.07,0.0
2017-09-30,3.55,$-0.73,0.0
