TPI Composites Price to Free Cash Flow Ratio Historical Data,TPI Composites Price to Free Cash Flow Ratio Historical Data,TPI Composites Price to Free Cash Flow Ratio Historical Data,TPI Composites Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.89,,0.0
2024-12-31,1.89,$-0.29,0.0
2024-09-30,4.55,$-2.39,0.0
2024-06-30,3.99,$-2.76,0.0
2024-03-31,2.91,$-1.69,0.0
2023-12-31,4.14,$-2.74,0.0
2023-09-30,2.65,$-2.02,0.0
2023-06-30,10.37,$-2.24,0.0
2023-03-31,13.05,$-1.93,0.0
2022-12-31,10.14,$-1.93,0.0
2022-09-30,11.28,$-2.40,0.0
2022-06-30,12.5,$-2.45,0.0
2022-03-31,14.06,$-3.41,0.0
2021-12-31,14.96,$-1.67,0.0
2021-09-30,33.75,$-1.84,0.0
2021-06-30,48.42,$0.34,141.13
2021-03-31,56.43,$-0.43,0.0
2020-12-31,52.78,$-0.79,0.0
2020-09-30,28.96,$-1.12,0.0
2020-06-30,23.37,$-1.37,0.0
2020-03-31,14.78,$-0.31,0.0
2019-12-31,18.51,$-0.49,0.0
2019-09-30,18.75,$-0.53,0.0
2019-06-30,24.72,$-1.47,0.0
2019-03-31,28.62,$-2.02,0.0
2018-12-31,24.58,$-1.55,0.0
2018-09-30,28.55,$-0.30,0.0
2018-06-30,29.24,$-0.28,0.0
2018-03-31,22.45,$0.64,34.81
2017-12-31,20.46,$0.85,23.96
2017-09-30,22.34,$1.57,14.26
2017-06-30,18.48,$1.64,11.27
