Full House Resorts Price to Free Cash Flow Ratio Historical Data,Full House Resorts Price to Free Cash Flow Ratio Historical Data,Full House Resorts Price to Free Cash Flow Ratio Historical Data,Full House Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.16,,0.0
2024-12-31,4.08,$-1.11,0.0
2024-09-30,5.02,$-1.78,0.0
2024-06-30,5.0,$-1.93,0.0
2024-03-31,5.57,$-2.72,0.0
2023-12-31,5.37,$-3.66,0.0
2023-09-30,4.27,$-4.66,0.0
2023-06-30,6.7,$-5.65,0.0
2023-03-31,7.23,$-5.50,0.0
2022-12-31,7.52,$-4.85,0.0
2022-09-30,5.62,$-3.62,0.0
2022-06-30,6.08,$-2.18,0.0
2022-03-31,9.61,$-1.46,0.0
2021-12-31,12.11,$-0.21,0.0
2021-09-30,10.61,$0.23,45.93
2021-06-30,9.94,$0.74,13.44
2021-03-31,8.51,$0.60,14.27
2020-12-31,3.93,$0.23,17.18
2020-09-30,1.94,$0.12,15.61
2020-06-30,1.33,$-0.02,0.0
2020-03-31,1.25,$-0.03,0.0
2019-12-31,3.35,$0.09,37.94
2019-09-30,2.16,$-0.01,0.0
2019-06-30,1.87,$-0.22,0.0
2019-03-31,2.02,$-0.26,0.0
2018-12-31,2.02,$-0.27,0.0
2018-09-30,2.88,$-0.34,0.0
2018-06-30,3.33,$-0.23,0.0
2018-03-31,3.21,$-0.22,0.0
2017-12-31,3.89,$-0.17,0.0
2017-09-30,2.79,$-0.09,0.0
2017-06-30,2.47,$0.00,0.0
2017-03-31,2.43,$0.10,23.89
2016-12-31,2.4,$0.23,10.63
2016-09-30,1.79,$0.27,6.72
2016-06-30,2.02,$0.28,7.26
2016-03-31,1.44,$0.06,23.26
2015-12-31,1.67,$-0.20,0.0
2015-09-30,1.46,$-0.36,0.0
2015-06-30,1.67,$-0.46,0.0
2015-03-31,1.51,$-0.27,0.0
2014-12-31,1.4,$-0.11,0.0
2014-09-30,1.15,$-0.07,0.0
2014-06-30,1.41,$-0.00,0.0
2014-03-31,2.17,$0.10,22.19
2013-12-31,2.8,$0.33,8.58
2013-09-30,2.78,$0.14,19.39
2013-06-30,2.7,$0.04,62.21
2013-03-31,2.8,$-0.55,0.0
2012-12-31,3.45,$-0.39,0.0
2012-09-30,3.75,$0.11,32.87
2012-06-30,2.89,$0.53,5.42
2012-03-31,2.84,$1.37,2.07
2011-12-31,2.63,$1.29,2.03
2011-09-30,2.74,$1.35,2.02
2011-06-30,3.15,$1.16,2.73
2011-03-31,3.81,$1.14,3.34
2010-12-31,3.39,$0.98,3.45
2010-09-30,3.14,$1.05,2.99
2010-06-30,3.15,$0.95,3.3
2010-03-31,2.87,$0.71,4.03
2009-12-31,3.44,$0.63,5.5
