Plymouth Industrial REIT Price to Free Cash Flow Ratio Historical Data,Plymouth Industrial REIT Price to Free Cash Flow Ratio Historical Data,Plymouth Industrial REIT Price to Free Cash Flow Ratio Historical Data,Plymouth Industrial REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.34,,0.0
2024-12-31,17.8,$-1.11,0.0
2024-09-30,22.6,$-1.17,0.0
2024-06-30,21.16,$1.19,17.76
2024-03-31,22.02,$1.14,19.32
2023-12-31,23.3,$1.08,21.57
2023-09-30,20.09,$0.62,32.2
2023-06-30,21.85,$0.10,212.71
2023-03-31,19.75,$-0.91,0.0
2022-12-31,17.83,$-4.53,0.0
2022-09-30,15.45,$-14.76,0.0
2022-06-30,15.9,$-12.05,0.0
2022-03-31,24.26,$-11.47,0.0
2021-12-31,28.42,$-9.85,0.0
2021-09-30,20.07,$-5.05,0.0
2021-06-30,17.5,$-8.51,0.0
2021-03-31,14.57,$-7.37,0.0
2020-12-31,12.82,$-11.46,0.0
2020-09-30,10.41,$-17.56,0.0
2020-06-30,10.62,$-22.66,0.0
2020-03-31,9.11,$-24.83,0.0
2019-12-31,14.53,$-20.32,0.0
2019-09-30,14.18,$-31.86,0.0
2019-06-30,14.36,$-30.61,0.0
2019-03-31,12.51,$-33.94,0.0
2018-12-31,9.17,$-32.68,0.0
2018-09-30,10.93,$-71.87,0.0
2018-06-30,11.02,$-78.72,0.0
2018-03-31,11.57,$-76.37,0.0
