Zepp Health Price to Free Cash Flow Ratio Historical Data,Zepp Health Price to Free Cash Flow Ratio Historical Data,Zepp Health Price to Free Cash Flow Ratio Historical Data,Zepp Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.63,,1.31
2024-09-30,4.35,$2.77,1.57
2024-06-30,2.4,$2.77,0.87
2024-03-31,4.08,$2.77,1.47
2023-12-31,5.68,$2.77,2.05
2023-09-30,4.6,$-7.50,0.0
2023-06-30,4.56,$-7.50,0.0
2023-03-31,5.24,$-7.50,0.0
2022-12-31,5.8,$-7.50,0.0
2022-09-30,5.48,0,0.0
2022-06-30,7.4,0,0.0
2022-03-31,11.52,$0.69,16.59
2021-09-30,31.08,$0.69,44.74
2021-03-31,41.68,$0.69,60.01
2020-12-31,45.86,$0.69,66.03
2020-09-30,49.73,$3.54,14.06
2020-06-30,47.83,$3.54,13.53
2020-03-31,50.78,$3.54,14.36
2019-12-31,46.52,$3.54,13.15
2019-09-30,38.7,$7.14,5.42
2019-06-30,38.7,$7.14,5.42
2019-03-31,50.66,$7.14,7.09
2018-12-31,38.04,$7.14,5.33
