Nixxy Price to Free Cash Flow Ratio Historical Data,Nixxy Price to Free Cash Flow Ratio Historical Data,Nixxy Price to Free Cash Flow Ratio Historical Data,Nixxy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.23,,3.51
2024-09-30,2.74,$0.64,4.31
2024-06-30,2.12,$0.39,5.41
2024-03-31,1.64,$0.33,5.03
2023-12-31,1.52,$-0.75,0.0
2023-09-30,1.21,$-3.53,0.0
2023-06-30,0.24,$-7.23,0.0
2023-03-31,0.27,$-8.43,0.0
2022-12-31,0.42,$-8.28,0.0
2022-09-30,1.22,$-14.13,0.0
2022-06-30,1.01,$-18.24,0.0
