Vnet Group Price to Free Cash Flow Ratio Historical Data,Vnet Group Price to Free Cash Flow Ratio Historical Data,Vnet Group Price to Free Cash Flow Ratio Historical Data,Vnet Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.86,,0.0
2024-09-30,4.08,$-1.80,0.0
2024-06-30,2.1,$-0.82,0.0
2024-03-31,1.55,$-0.55,0.0
2023-12-31,2.87,$-0.82,0.0
2023-09-30,3.13,$-0.54,0.0
2023-06-30,2.9,$-0.54,0.0
2023-03-31,3.24,$-0.14,0.0
2022-12-31,5.67,$-0.54,0.0
2022-09-30,5.5,$-1.34,0.0
2022-06-30,6.04,$-0.81,0.0
2022-03-31,5.83,$-1.44,0.0
2021-12-31,9.03,$-1.34,0.0
2021-09-30,17.31,$-1.17,0.0
2021-06-30,22.95,$-2.27,0.0
2021-03-31,32.3,$-2.68,0.0
2020-12-31,34.69,$-2.73,0.0
2020-09-30,23.16,$-2.32,0.0
2020-06-30,23.86,$-1.74,0.0
2020-03-31,13.86,$-1.11,0.0
2019-12-31,7.25,$-0.76,0.0
2019-09-30,7.62,$0.91,8.36
2019-06-30,7.79,$0.91,8.54
2019-03-31,7.94,$0.77,10.26
2018-12-31,8.64,$0.91,9.48
2018-09-30,10.1,$-0.02,0.0
2018-06-30,9.7,$0.09,102.54
2018-03-31,6.93,$0.11,64.47
2017-12-31,7.98,$-0.02,0.0
2017-09-30,5.69,$-0.77,0.0
2017-06-30,5.02,$-0.59,0.0
2017-03-31,5.49,$-0.59,0.0
2016-12-31,7.01,$-0.77,0.0
2016-09-30,7.95,$-1.48,0.0
2016-06-30,10.21,$-1.77,0.0
2016-03-31,19.97,$-1.32,0.0
2015-12-31,21.14,$-1.48,0.0
2015-09-30,18.28,$-0.19,0.0
2015-06-30,20.52,$-0.19,0.0
2015-03-31,17.66,$-0.63,0.0
2014-12-31,15.47,$-0.19,0.0
2014-09-30,18.0,$-0.90,0.0
2014-06-30,29.97,$-0.90,0.0
2014-03-31,28.7,$-0.90,0.0
2013-12-31,23.52,$-0.90,0.0
2013-09-30,16.49,$-0.72,0.0
2013-06-30,11.33,$-0.72,0.0
2013-03-31,9.4,$-0.72,0.0
2012-12-31,9.61,$-0.72,0.0
2012-09-30,11.54,$-0.23,0.0
2012-06-30,11.45,$-0.23,0.0
2012-03-31,11.35,$-0.23,0.0
