PLANET GREEN HOLDINGS CORP Price to Free Cash Flow Ratio Historical Data,PLANET GREEN HOLDINGS CORP Price to Free Cash Flow Ratio Historical Data,PLANET GREEN HOLDINGS CORP Price to Free Cash Flow Ratio Historical Data,PLANET GREEN HOLDINGS CORP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.62,,0.0
2024-09-30,1.54,$-0.53,0.0
2024-06-30,1.66,$-0.91,0.0
2024-03-31,2.6,$-0.79,0.0
2023-12-31,4.89,$-0.75,0.0
2023-09-30,7.8,$-0.26,0.0
2023-06-30,5.05,$0.07,72.87
2023-03-31,4.92,$-0.14,0.0
2022-12-31,6.2,$-1.51,0.0
2022-09-30,6.6,$-0.73,0.0
2022-06-30,7.9,$1.53,5.17
2022-03-31,8.97,$0.68,13.15
2021-12-31,10.2,$-3.87,0.0
2021-09-30,13.5,$-3.01,0.0
2021-06-30,16.9,$-3.90,0.0
2021-03-31,21.9,$-1.57,0.0
2020-12-31,22.3,$-4.15,0.0
2020-09-30,19.6,$-5.50,0.0
2020-06-30,26.6,$-11.97,0.0
2020-03-31,29.6,$-17.65,0.0
2019-12-31,27.4,$-8.69,0.0
2019-09-30,33.9,$-27.05,0.0
2019-06-30,46.8,$-10.88,0.0
2019-03-31,43.5,$-40.23,0.0
2018-12-31,24.5,$-49.17,0.0
2018-09-30,34.9,$-34.91,0.0
2018-06-30,52.5,$-34.64,0.0
2018-03-31,49.25,$-9.02,0.0
2017-12-31,44.0,$-4.40,0.0
2017-09-30,95.0,$-108.06,0.0
2017-06-30,125.0,$-139.39,0.0
2017-03-31,140.0,$-117.96,0.0
2016-12-31,135.0,$-195.53,0.0
2016-09-30,157.48,$-142.68,0.0
2016-06-30,282.5,$-90.43,0.0
2016-03-31,295.0,$-88.09,0.0
2015-12-31,305.0,$108.06,2.82
2015-09-30,240.0,$260.52,0.92
2015-06-30,465.0,$172.92,2.69
2015-03-31,325.0,$124.69,2.61
2014-12-31,237.5,$60.30,3.94
2014-09-30,302.5,$-119.43,0.0
2014-06-30,287.5,$-158.39,0.0
2014-03-31,297.5,$-126.56,0.0
2013-12-31,197.5,$-191.23,0.0
2013-09-30,194.75,$49.22,3.96
2013-06-30,257.5,$-57.82,0.0
2013-03-31,315.0,$-34.33,0.0
2012-12-31,320.03,$42.90,7.46
2012-09-30,312.3,$-201.18,0.0
2012-06-30,275.0,$-1.89,0.0
2012-03-31,327.53,$-75.13,0.0
2011-12-31,400.0,$-119.65,0.0
2011-09-30,407.5,$96.31,4.23
2011-06-30,385.0,$-23.19,0.0
2011-03-31,635.0,$19.34,32.83
2010-12-31,652.5,$-33.52,0.0
2010-09-30,680.0,$-119.38,0.0
2010-06-30,710.0,$-168.00,0.0
