Penns Woods Bancorp Price to Free Cash Flow Ratio Historical Data,Penns Woods Bancorp Price to Free Cash Flow Ratio Historical Data,Penns Woods Bancorp Price to Free Cash Flow Ratio Historical Data,Penns Woods Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.41,,11.33
2024-12-31,30.39,$2.51,12.12
2024-09-30,23.56,$1.77,13.33
2024-06-30,20.05,$1.74,11.55
2024-03-31,18.64,$1.40,13.31
2023-12-31,21.26,$2.61,8.14
2023-09-30,19.6,$2.64,7.43
2023-06-30,22.98,$3.96,5.8
2023-03-31,20.93,$3.84,5.45
2022-12-31,23.8,$3.35,7.1
2022-09-30,20.23,$3.38,5.98
2022-06-30,20.11,$2.93,6.86
2022-03-31,20.99,$2.06,10.17
2021-12-31,20.05,$2.38,8.44
2021-09-30,20.02,$2.65,7.55
2021-06-30,19.67,$2.28,8.64
2021-03-31,19.65,$3.05,6.43
2020-12-31,20.97,$2.79,7.51
2020-09-30,15.81,$1.41,11.2
2020-06-30,17.82,$2.06,8.65
2020-03-31,18.84,$1.87,10.07
2019-12-31,27.24,$1.64,16.64
2019-09-30,23.39,$2.92,8.01
2019-06-30,22.64,$2.25,10.05
2019-03-31,20.33,$2.51,8.11
2018-12-31,19.69,$2.17,9.07
2018-09-30,21.02,$2.39,8.78
2018-06-30,21.44,$2.38,9.02
2018-03-31,20.05,$1.71,11.72
2017-12-31,21.84,$1.80,12.14
2017-09-30,21.58,$0.95,22.6
2017-06-30,18.91,$1.44,13.11
2017-03-31,19.73,$1.97,10.01
2016-12-31,22.7,$1.70,13.38
2016-09-30,19.79,$1.89,10.49
2016-06-30,18.49,$1.77,10.42
2016-03-31,16.79,$1.94,8.66
2015-12-31,18.28,$1.88,9.73
2015-09-30,17.44,$2.11,8.27
2015-06-30,18.57,$2.13,8.71
2015-03-31,20.38,$2.28,8.96
2014-12-31,20.32,$2.21,9.21
2014-09-30,17.24,$2.07,8.32
2014-06-30,19.02,$1.99,9.54
2014-03-31,19.5,$1.47,13.28
2013-12-31,20.19,$1.88,10.77
2013-09-30,19.55,$1.71,11.45
2013-06-30,16.26,$2.05,7.94
2013-03-31,15.73,$2.27,6.93
2012-12-31,14.11,$2.18,6.47
2012-09-30,16.52,$2.41,6.84
2012-06-30,14.67,$2.56,5.74
2012-03-31,14.88,$2.51,5.93
2011-12-31,13.94,$2.74,5.09
2011-09-30,11.63,$2.44,4.76
2011-06-30,12.03,$1.98,6.07
2011-03-31,13.46,$2.02,6.65
2010-12-31,13.6,$1.64,8.27
2010-09-30,11.16,$1.39,8.0
2010-06-30,10.12,$0.97,10.47
2010-03-31,11.0,$0.58,19.02
2009-12-31,10.49,$0.95,11.02
