Sonoma Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Sonoma Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Sonoma Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Sonoma Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.62,,0.0
2024-12-31,2.69,$-0.62,0.0
2024-09-30,3.07,$-0.20,0.0
2024-06-30,4.24,$-5.45,0.0
2024-03-31,3.33,$-5.31,0.0
2023-12-31,3.61,$-18.15,0.0
2023-09-30,15.44,$-21.52,0.0
2023-06-30,21.4,$-28.74,0.0
2023-03-31,19.53,$-37.84,0.0
2022-12-31,22.4,$-38.44,0.0
2022-09-30,42.6,$-32.86,0.0
2022-06-30,58.4,$-30.94,0.0
2022-03-31,80.2,$-33.06,0.0
2021-12-31,91.2,$-34.42,0.0
2021-09-30,111.6,$-32.41,0.0
2021-06-30,146.8,$-22.37,0.0
2021-03-31,148.6,$-35.64,0.0
2020-12-31,145.2,$-70.71,0.0
2020-09-30,167.4,$-86.79,0.0
2020-06-30,142.4,$-101.25,0.0
2020-03-31,98.0,$-64.96,0.0
2019-12-31,87.2,$-83.71,0.0
2019-09-30,115.2,$-73.75,0.0
2019-06-30,158.43,$-155.82,0.0
2019-03-31,169.22,$-255.78,0.0
2018-12-31,128.25,$-296.37,0.0
2018-09-30,262.8,$-379.00,0.0
2018-06-30,446.4,$-390.26,0.0
2018-03-31,662.4,$-502.03,0.0
2017-12-31,981.0,$-515.78,0.0
2017-09-30,939.6,$-673.51,0.0
