Dogness (International) Price to Free Cash Flow Ratio Historical Data,Dogness (International) Price to Free Cash Flow Ratio Historical Data,Dogness (International) Price to Free Cash Flow Ratio Historical Data,Dogness (International) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.35,,inf
2024-06-30,17.28,0.0,0.0
2023-06-30,0.73,0.0,0.0
2022-12-31,0.98,0.0,0.0
