Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data,Cummins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,325.4,,162.23
2024-12-31,348.6,$2.01,173.8
2024-09-30,322.22,$2.23,144.51
2024-06-30,273.97,$8.20,33.42
2024-03-31,289.79,$17.92,16.17
2023-12-31,234.12,$19.29,12.14
2023-09-30,221.6,$15.17,14.6
2023-06-30,236.09,$7.70,30.65
2023-03-31,228.37,$9.05,25.23
2022-12-31,230.17,$7.35,31.31
2022-09-30,192.11,$7.14,26.92
2022-06-30,181.46,$8.83,20.55
2022-03-31,190.94,$9.15,20.86
2021-12-31,201.73,$10.43,19.34
2021-09-30,206.36,$14.08,14.65
2021-06-30,222.65,$18.55,12.0
2021-03-31,235.38,$14.39,16.35
2020-12-31,205.16,$14.72,13.93
2020-09-30,189.66,$12.27,15.46
2020-06-30,154.65,$11.09,13.95
2020-03-31,119.79,$16.00,7.49
2019-12-31,157.18,$15.89,9.89
2019-09-30,141.85,$16.34,8.68
2019-06-30,148.08,$14.69,10.08
2019-03-31,135.47,$13.31,10.18
2018-12-31,113.83,$10.25,11.1
2018-09-30,123.46,$9.85,12.54
2018-06-30,111.54,$9.15,12.19
2018-03-31,134.93,$8.33,16.2
2017-12-31,146.1,$11.24,12.99
2017-09-30,138.09,$10.12,13.65
2017-06-30,132.39,$8.99,14.73
2017-03-31,122.57,$9.03,13.57
2016-12-31,110.05,$8.40,13.11
2016-09-30,102.42,$9.41,10.89
2016-06-30,89.14,$9.00,9.9
2016-03-31,86.4,$8.28,10.43
2015-12-31,68.48,$7.54,9.08
2015-09-30,83.65,$7.12,11.75
2015-06-30,100.31,$7.62,13.16
2015-03-31,105.42,$7.88,13.38
2014-12-31,109.01,$8.32,13.1
2014-09-30,99.26,$7.99,12.43
2014-06-30,115.43,$6.39,18.07
2014-03-31,111.0,$6.72,16.52
2013-12-31,104.55,$7.54,13.87
2013-09-30,98.07,$7.43,13.2
2013-06-30,79.65,$7.39,10.78
2013-03-31,84.69,$6.65,12.73
2012-12-31,78.89,$4.44,17.77
2012-09-30,66.8,$4.31,15.48
2012-06-30,69.86,$5.50,12.69
2012-03-31,86.2,$7.00,12.31
2011-12-31,63.0,$7.54,8.36
2011-09-30,58.2,$6.16,9.45
2011-06-30,73.41,$4.34,16.91
2011-03-31,77.57,$2.93,26.46
2010-12-31,77.66,$3.54,21.97
2010-09-30,63.76,$4.06,15.72
2010-06-30,45.7,$5.19,8.8
2010-03-31,43.36,$4.73,9.16
2009-12-31,32.0,$4.23,7.56
