SR Bancorp Price to Free Cash Flow Ratio Historical Data,SR Bancorp Price to Free Cash Flow Ratio Historical Data,SR Bancorp Price to Free Cash Flow Ratio Historical Data,SR Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.6,,0.0
2024-12-31,11.91,$-0.07,0.0
2024-09-30,11.15,$1.52,7.31
2024-06-30,9.25,$-0.41,0.0
