AAON Price to Free Cash Flow Ratio Historical Data,AAON Price to Free Cash Flow Ratio Historical Data,AAON Price to Free Cash Flow Ratio Historical Data,AAON Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,79.42,,0.0
2024-12-31,117.68,$-0.04,0.0
2024-09-30,107.78,$1.30,82.77
2024-06-30,87.11,$1.29,67.5
2024-03-31,87.87,$1.59,55.43
2023-12-31,73.61,$0.66,112.02
2023-09-30,56.59,$0.36,157.07
2023-06-30,62.82,$0.44,141.84
2023-03-31,63.99,$-0.21,0.0
2022-12-31,49.78,$-0.18,0.0
2022-09-30,35.5,$-0.58,0.0
2022-06-30,36.08,$-0.93,0.0
2022-03-31,36.59,$-0.34,0.0
2021-12-31,52.16,$0.07,719.41
2021-09-30,42.8,$0.56,75.96
2021-06-30,41.0,$0.77,53.46
2021-03-31,45.72,$0.72,63.3
2020-12-31,43.52,$0.77,56.71
2020-09-30,39.24,$0.87,45.09
2020-06-30,35.36,$0.90,39.33
2020-03-31,31.36,$0.89,35.21
2019-12-31,32.07,$0.77,41.62
2019-09-30,29.72,$0.60,49.43
2019-06-30,32.46,$0.33,97.16
2019-03-31,29.77,$0.27,109.2
2018-12-31,22.6,$0.22,101.43
2018-09-30,24.26,$0.14,178.94
2018-06-30,21.34,$0.12,173.39
2018-03-31,24.91,$0.18,136.74
2017-12-31,23.44,$0.20,114.59
2017-09-30,21.95,$0.37,59.7
2017-06-30,23.46,$0.51,46.3
2017-03-31,22.42,$0.41,54.77
2016-12-31,20.96,$0.47,45.0
2016-09-30,18.21,$0.40,45.51
2016-06-30,17.38,$0.56,31.04
2016-03-31,17.62,$0.52,33.87
2015-12-31,14.61,$0.42,34.66
2015-09-30,12.14,$0.46,26.39
2015-06-30,14.11,$0.35,40.59
2015-03-31,15.3,$0.40,38.5
2014-12-31,13.96,$0.45,30.76
2014-09-30,10.56,$0.45,23.33
2014-06-30,13.88,$0.37,37.95
2014-03-31,11.49,$0.51,22.49
2013-12-31,13.17,$0.54,24.61
2013-09-30,10.92,$0.52,20.97
2013-06-30,9.06,$0.61,14.81
2013-03-31,7.54,$0.43,17.62
2012-12-31,5.7,$0.44,12.83
2012-09-30,5.32,$0.44,12.15
2012-06-30,5.09,$0.21,24.33
2012-03-31,5.42,$0.10,51.71
2011-12-31,5.5,$-0.11,0.0
2011-09-30,4.2,$-0.18,0.0
2011-06-30,5.83,$-0.19,0.0
2011-03-31,5.82,$-0.04,0.0
2010-12-31,4.99,$0.17,28.79
2010-09-30,4.13,$0.22,19.02
2010-06-30,4.09,$0.36,11.53
2010-03-31,3.94,$0.40,9.87
2009-12-31,3.4,$0.41,8.37
