Mega Matrix Price to Free Cash Flow Ratio Historical Data,Mega Matrix Price to Free Cash Flow Ratio Historical Data,Mega Matrix Price to Free Cash Flow Ratio Historical Data,Mega Matrix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.61,,3.95
2024-06-30,2.48,$0.15,16.06
2024-03-31,2.86,$-0.10,0.0
2023-12-31,1.41,$-0.10,0.0
2023-09-30,0.88,$-0.11,0.0
2023-06-30,1.3,$-0.13,0.0
2023-03-31,1.55,$-0.14,0.0
2022-12-31,1.76,$-0.25,0.0
2022-09-30,1.69,$-0.19,0.0
2022-06-30,1.36,$-1.32,0.0
2022-03-31,2.0,$-1.05,0.0
2021-12-31,11.94,$0.43,27.48
2021-09-30,11.86,$1.95,6.07
2021-06-30,2.06,$4.06,0.51
2021-03-31,0.69,$3.79,0.18
2020-12-31,2.1,$2.73,0.77
2020-09-30,0.39,$2.44,0.16
2020-06-30,0.48,$2.16,0.22
2020-03-31,0.2,$2.68,0.07
2019-12-31,0.88,$3.23,0.27
2019-09-30,1.21,$-0.25,0.0
2019-06-30,1.42,$3.74,0.38
2019-03-31,2.31,$1.34,1.73
2018-12-31,1.87,$1.62,1.16
2018-09-30,3.03,$5.42,0.56
2018-06-30,3.1,$0.21,14.83
2018-03-31,3.39,$-0.09,0.0
2017-12-31,2.98,$-0.63,0.0
2017-09-30,2.78,$-2.25,0.0
2017-06-30,2.46,$-7.87,0.0
2017-03-31,1.92,$-5.18,0.0
2016-12-31,1.85,$-4.68,0.0
2016-09-30,1.83,$-3.04,0.0
2016-06-30,1.8,$3.54,0.51
2016-03-31,2.11,$3.70,0.57
2015-12-31,2.49,$3.10,0.8
2015-09-30,1.97,$-1.78,0.0
2015-06-30,1.66,$-3.47,0.0
2015-03-31,2.6,$-3.27,0.0
2014-12-31,1.71,$-6.89,0.0
2014-09-30,2.2,$-5.61,0.0
2014-06-30,3.05,$-3.99,0.0
2014-03-31,3.48,$-4.39,0.0
2013-12-31,3.36,$-0.90,0.0
2013-09-30,4.02,$2.25,1.79
2013-06-30,3.81,$2.52,1.51
2013-03-31,3.43,$0.94,3.64
2012-12-31,2.76,$-0.05,0.0
2012-09-30,2.45,$-1.42,0.0
2012-06-30,2.33,$-2.26,0.0
2012-03-31,2.18,$-0.81,0.0
2011-12-31,1.2,$-0.33,0.0
2011-09-30,1.38,$-0.90,0.0
2011-06-30,2.54,$-0.85,0.0
2011-03-31,2.92,$-0.90,0.0
2010-12-31,3.54,$-0.21,0.0
2010-09-30,3.33,$0.56,5.99
2010-06-30,4.1,$0.61,6.77
2010-03-31,3.77,$1.19,3.18
2009-12-31,3.08,$1.15,2.69
