Outset Medical Price to Free Cash Flow Ratio Historical Data,Outset Medical Price to Free Cash Flow Ratio Historical Data,Outset Medical Price to Free Cash Flow Ratio Historical Data,Outset Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.28,,0.0
2024-12-31,1.11,$-2.26,0.0
2024-09-30,0.68,$-2.52,0.0
2024-06-30,3.85,$-2.73,0.0
2024-03-31,2.22,$-2.69,0.0
2023-12-31,5.41,$-2.72,0.0
2023-09-30,10.88,$-2.95,0.0
2023-06-30,21.87,$-3.04,0.0
2023-03-31,18.4,$-3.29,0.0
2022-12-31,25.82,$-3.20,0.0
2022-09-30,15.93,$-3.22,0.0
2022-06-30,14.86,$-3.05,0.0
2022-03-31,45.4,$-2.84,0.0
2021-12-31,46.09,$-2.93,0.0
2021-09-30,49.44,$-2.28,0.0
2021-06-30,49.98,$-8.17,0.0
