NexPoint Residential Trust Price to Free Cash Flow Ratio Historical Data,NexPoint Residential Trust Price to Free Cash Flow Ratio Historical Data,NexPoint Residential Trust Price to Free Cash Flow Ratio Historical Data,NexPoint Residential Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.29,,4.97
2024-12-31,41.75,$7.70,5.42
2024-09-30,43.52,$8.96,4.86
2024-06-30,38.68,$11.07,3.49
2024-03-31,31.12,$9.36,3.33
2023-12-31,32.78,$5.46,6.0
2023-09-30,30.25,$4.61,6.57
2023-06-30,42.26,$2.12,19.98
2023-03-31,40.2,$-3.01,0.0
2022-12-31,39.69,$-3.41,0.0
2022-09-30,41.76,$-4.18,0.0
2022-06-30,56.09,$-7.07,0.0
2022-03-31,80.53,$-6.73,0.0
2021-12-31,74.43,$-6.59,0.0
2021-09-30,54.67,$-10.42,0.0
2021-06-30,48.31,$-5.62,0.0
2021-03-31,40.25,$-0.62,0.0
2020-12-31,36.68,$2.48,14.76
2020-09-30,38.14,$-3.90,0.0
2020-06-30,30.18,$-11.58,0.0
2020-03-31,21.33,$-11.94,0.0
2019-12-31,37.78,$-20.48,0.0
2019-09-30,38.98,$-10.07,0.0
2019-06-30,34.31,$-10.72,0.0
2019-03-31,31.56,$-10.49,0.0
2018-12-31,28.63,$-3.96,0.0
2018-09-30,26.91,$-6.92,0.0
2018-06-30,22.88,$5.96,3.84
2018-03-31,19.79,$4.25,4.66
2017-12-31,22.04,$1.99,11.09
2017-09-30,18.55,$-2.60,0.0
2017-06-30,19.27,$-6.50,0.0
2017-03-31,18.55,$-1.80,0.0
2016-12-31,16.98,$-0.85,0.0
2016-09-30,14.79,$6.35,2.33
2016-06-30,13.54,$-0.38,0.0
2016-03-31,9.61,$-4.83,0.0
2015-12-31,9.46,$-11.68,0.0
