Innospec Price to Free Cash Flow Ratio Historical Data,Innospec Price to Free Cash Flow Ratio Historical Data,Innospec Price to Free Cash Flow Ratio Historical Data,Innospec Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,98.42,,17.22
2024-12-31,110.06,$5.72,19.25
2024-09-30,112.33,$7.39,15.2
2024-06-30,122.76,$6.58,18.65
2024-03-31,127.33,$8.44,15.09
2023-12-31,121.7,$5.81,20.96
2023-09-30,100.25,$6.23,16.09
2023-06-30,98.53,$5.62,17.53
2023-03-31,100.02,$3.36,29.8
2022-12-31,100.2,$1.69,59.18
2022-09-30,82.97,$1.45,57.27
2022-06-30,92.77,$0.04,2415.92
2022-03-31,89.09,$0.30,301.38
2021-12-31,86.96,$2.29,37.92
2021-09-30,80.55,$1.92,42.06
2021-06-30,86.67,$4.07,21.3
2021-03-31,97.67,$5.41,18.06
2020-12-31,86.29,$4.69,18.4
2020-09-30,59.85,$4.73,12.64
2020-06-30,73.01,$4.14,17.65
2020-03-31,65.17,$5.01,13.02
2019-12-31,97.01,$5.33,18.22
2019-09-30,83.15,$5.74,14.5
2019-06-30,85.11,$5.41,15.74
2019-03-31,77.27,$3.43,22.55
2018-12-31,57.26,$3.09,18.54
2018-09-30,70.74,$2.27,31.1
2018-06-30,70.56,$2.99,23.61
2018-03-31,62.86,$3.27,19.2
2017-12-31,64.7,$2.43,26.67
2017-09-30,56.17,$1.35,41.59
2017-06-30,59.72,$0.63,94.1
2017-03-31,58.63,$2.41,24.33
2016-12-31,62.03,$3.64,17.03
2016-09-30,54.75,$3.95,13.86
2016-06-30,41.41,$4.18,9.91
2016-03-31,38.77,$3.64,10.66
2015-12-31,48.56,$4.09,11.88
2015-09-30,41.36,$4.93,8.39
2015-06-30,40.05,$4.54,8.83
2015-03-31,40.98,$3.57,11.47
2014-12-31,37.72,$3.73,10.11
2014-09-30,31.51,$3.03,10.41
2014-06-30,37.89,$1.85,20.44
2014-03-31,39.44,$2.18,18.06
2013-12-31,40.3,$2.08,19.36
2013-09-30,40.25,$1.02,39.33
2013-06-30,34.66,$2.44,14.19
2013-03-31,38.2,$2.18,17.49
2012-12-31,29.75,$2.21,13.46
2012-09-30,27.51,$2.73,10.07
2012-06-30,24.02,$1.95,12.32
2012-03-31,24.64,$1.64,15.04
2011-12-31,22.77,$1.13,20.15
2011-09-30,19.64,$1.18,16.65
2011-06-30,27.26,$1.62,16.78
2011-03-31,25.91,$1.89,13.71
2010-12-31,16.55,$2.00,8.28
2010-09-30,12.35,$2.50,4.95
2010-06-30,7.61,$2.21,3.45
2010-03-31,9.21,$2.50,3.68
2009-12-31,8.18,$3.25,2.52
