CureVac Price to Free Cash Flow Ratio Historical Data,CureVac Price to Free Cash Flow Ratio Historical Data,CureVac Price to Free Cash Flow Ratio Historical Data,CureVac Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.97,,6.3
2024-09-30,2.94,$0.47,6.24
2024-06-30,3.4,$-1.56,0.0
2024-03-31,3.03,$-1.49,0.0
2023-12-31,4.21,$-1.57,0.0
2023-09-30,6.83,$-2.20,0.0
2023-06-30,10.42,$-1.85,0.0
2023-03-31,6.97,$-1.49,0.0
2022-03-31,19.61,$-0.92,0.0
