Nouveau Monde Graphite Price to Free Cash Flow Ratio Historical Data,Nouveau Monde Graphite Price to Free Cash Flow Ratio Historical Data,Nouveau Monde Graphite Price to Free Cash Flow Ratio Historical Data,Nouveau Monde Graphite Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.68,,0.0
2024-09-30,1.57,$-0.44,0.0
2024-06-30,1.88,$-0.53,0.0
2024-03-31,2.29,$-0.64,0.0
2023-12-31,2.61,$-0.66,0.0
2023-09-30,2.64,$-0.75,0.0
2023-06-30,3.04,$-0.80,0.0
2023-03-31,5.13,$-0.87,0.0
2022-12-31,3.82,$-0.96,0.0
2022-09-30,5.4,$-1.20,0.0
2022-06-30,4.86,$-1.26,0.0
2022-03-31,6.93,$-1.59,0.0
