HireQuest Price to Free Cash Flow Ratio Historical Data,HireQuest Price to Free Cash Flow Ratio Historical Data,HireQuest Price to Free Cash Flow Ratio Historical Data,HireQuest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.21,,14.93
2024-09-30,14.11,$0.88,15.94
2024-06-30,12.25,$0.73,16.78
2024-03-31,12.79,$0.67,19.08
2023-12-31,15.09,$0.76,19.79
2023-09-30,15.11,$0.53,28.76
2023-06-30,25.4,$0.54,46.84
2023-03-31,21.0,$0.85,24.62
2022-12-31,15.35,$1.22,12.55
2022-09-30,12.48,$0.96,13.02
2022-06-30,13.57,$1.07,12.74
2022-03-31,18.35,$0.73,25.24
2021-12-31,19.29,$1.17,16.42
2021-09-30,18.44,$1.30,14.16
2021-06-30,17.6,$0.82,21.59
2021-03-31,16.35,$1.18,13.9
2020-12-31,9.65,$0.69,13.93
2020-09-30,7.15,$0.88,8.12
2020-06-30,5.78,$0.84,6.86
2020-03-31,5.57,$0.59,9.4
2019-12-31,6.62,$0.38,17.21
2019-09-30,6.71,$0.40,16.88
2019-06-30,5.24,$0.74,7.06
2019-03-31,3.67,$0.67,5.44
