FRP Holdings Price to Free Cash Flow Ratio Historical Data,FRP Holdings Price to Free Cash Flow Ratio Historical Data,FRP Holdings Price to Free Cash Flow Ratio Historical Data,FRP Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.47,,18.49
2024-12-31,30.63,$1.54,19.89
2024-09-30,29.86,$-0.46,0.0
2024-06-30,28.52,$1.86,15.34
2024-03-31,30.7,$1.38,22.18
2023-12-31,31.44,$1.74,18.03
2023-09-30,26.99,$2.72,9.91
2023-06-30,28.79,$1.41,20.45
2023-03-31,28.94,$1.50,19.25
2022-12-31,26.93,$1.23,21.82
2022-09-30,27.18,$0.29,93.92
2022-06-30,30.18,$1.11,27.2
2022-03-31,28.9,$1.15,25.18
2021-12-31,28.9,$1.23,23.43
2021-09-30,27.96,$0.74,37.95
2021-06-30,27.84,$1.82,15.26
2021-03-31,24.61,$1.79,13.72
2020-12-31,22.78,$1.97,11.56
2020-09-30,20.84,$3.62,5.75
2020-06-30,20.29,$2.75,7.38
2020-03-31,21.5,$3.14,6.84
2019-12-31,24.91,$2.79,8.92
2019-09-30,24.01,$0.95,25.41
2019-06-30,27.89,$-1.35,0.0
2019-03-31,23.79,$-2.25,0.0
2018-12-31,23.01,$-1.82,0.0
2018-09-30,31.05,$-1.76,0.0
2018-06-30,32.38,$0.95,34.11
2018-03-31,28.0,$1.06,26.42
2017-12-31,22.13,$1.05,21.08
2017-09-30,22.63,$-0.04,0.0
2017-06-30,23.08,$-0.06,0.0
2017-03-31,20.0,$0.08,256.74
2016-12-31,18.85,0,0.0
2016-09-30,15.54,$1.67,9.32
2016-06-30,17.25,$0.71,24.47
2016-03-31,17.8,$0.61,28.99
2015-12-31,16.97,$0.87,19.53
2015-09-30,15.07,$0.32,46.44
2015-06-30,16.22,$-0.10,0.0
2015-03-31,18.2,$0.29,62.93
2014-12-31,16.56,$0.32,51.04
2014-09-30,14.33,$-0.05,0.0
2014-06-30,14.77,$0.38,38.61
2014-03-31,15.23,$0.16,95.95
2013-12-31,17.53,$-0.05,0.0
2013-09-30,14.29,$-0.04,0.0
2013-06-30,12.69,$-0.04,0.0
2013-03-31,11.75,$-0.04,0.0
2012-12-31,12.01,$-0.04,0.0
2012-09-30,11.78,$0.09,134.43
2012-06-30,9.94,$0.02,574.49
2012-03-31,9.84,$-0.01,0.0
2011-12-31,9.17,$0.09,104.63
2011-09-30,8.54,$0.13,63.28
2011-06-30,9.45,$0.72,13.05
2011-03-31,11.3,$0.57,19.82
2010-12-31,13.09,$0.13,97.02
2010-09-30,9.87,$-0.14,0.0
2010-06-30,11.39,$-0.40,0.0
2010-03-31,11.89,$-0.37,0.0
2009-12-31,13.3,$-0.14,0.0
