Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,536.38,,36.6
2024-12-31,526.57,$14.66,35.93
2024-09-30,493.15,$13.79,35.76
2024-06-30,439.93,$11.71,37.56
2024-03-31,479.56,$11.26,42.6
2023-12-31,424.07,$11.51,36.83
2023-09-30,393.07,$10.28,38.25
2023-06-30,389.92,$10.79,36.14
2023-03-31,359.72,$10.52,34.19
2022-12-31,343.67,$10.40,33.05
2022-09-30,280.56,$10.55,26.59
2022-06-30,310.81,$9.16,33.92
2022-03-31,351.6,$8.91,39.44
2021-12-31,353.04,$8.72,40.49
2021-09-30,341.18,$7.83,43.57
2021-06-30,357.84,$6.99,51.19
2021-03-31,348.58,$6.17,56.54
2020-12-31,349.01,$6.48,53.88
2020-09-30,330.27,$7.11,46.43
2020-06-30,288.41,$7.73,37.29
2020-03-31,235.26,$7.79,30.18
2019-12-31,290.42,$7.29,39.81
2019-09-30,263.81,$5.71,46.19
2019-06-30,256.66,$5.76,44.58
2019-03-31,228.13,$5.74,39.77
2018-12-31,182.78,$5.46,33.46
2018-09-30,215.43,$5.90,36.52
2018-06-30,189.95,$5.30,35.82
2018-03-31,169.05,$5.16,32.74
2017-12-31,145.85,$4.89,29.83
2017-09-30,135.86,$4.21,32.27
2017-06-30,116.64,$3.86,30.24
2017-03-31,107.81,$3.57,30.23
2016-12-31,98.77,$3.86,25.56
2016-09-30,97.17,$3.84,25.28
2016-06-30,83.9,$3.67,22.84
2016-03-31,89.85,$3.45,26.05
2015-12-31,92.38,$3.31,27.94
2015-09-30,85.37,$2.90,29.47
2015-06-30,88.4,$3.00,29.48
2015-03-31,81.55,$2.93,27.8
2014-12-31,81.18,$2.63,30.88
2014-09-30,69.54,$3.02,23.03
2014-06-30,69.02,$2.94,23.49
2014-03-31,70.06,$2.92,24.0
2013-12-31,78.35,$3.16,24.82
2013-09-30,63.04,$2.94,21.46
2013-06-30,53.77,$2.65,20.3
2013-03-31,50.59,$2.55,19.85
2012-12-31,45.91,$2.17,21.15
2012-09-30,42.16,$2.08,20.25
2012-06-30,40.14,$2.07,19.36
2012-03-31,39.22,$2.00,19.64
2011-12-31,34.75,$1.95,17.8
2011-09-30,29.55,$1.88,15.71
2011-06-30,28.06,$1.54,18.26
2011-03-31,23.43,$1.37,17.04
2010-12-31,20.85,$1.18,17.66
2010-09-30,20.82,$0.89,23.44
2010-06-30,18.53,$0.69,26.98
2010-03-31,23.58,$0.71,33.16
2009-12-31,23.75,$0.95,24.94
