Washington Trust Bancorp Price to Free Cash Flow Ratio Historical Data,Washington Trust Bancorp Price to Free Cash Flow Ratio Historical Data,Washington Trust Bancorp Price to Free Cash Flow Ratio Historical Data,Washington Trust Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.54,,9.95
2024-12-31,31.35,$3.17,9.89
2024-09-30,31.63,$2.79,11.33
2024-06-30,26.36,$2.95,8.93
2024-03-31,25.85,$1.05,24.52
2023-12-31,30.5,$1.56,19.6
2023-09-30,24.38,$3.18,7.67
2023-06-30,24.31,$2.57,9.46
2023-03-31,30.78,$4.57,6.74
2022-12-31,41.23,$6.15,6.71
2022-09-30,40.15,$3.50,11.46
2022-06-30,41.3,$5.09,8.11
2022-03-31,44.33,$7.98,5.56
2021-12-31,47.11,$5.58,8.45
2021-09-30,43.86,$6.93,6.33
2021-06-30,42.1,$4.39,9.58
2021-03-31,41.9,$1.85,22.61
2020-12-31,36.0,$1.90,18.94
2020-09-30,24.35,$3.04,8.02
2020-06-30,25.59,$3.90,6.56
2020-03-31,28.13,$2.74,10.26
2019-12-31,40.81,$4.05,10.08
2019-09-30,36.31,$3.30,11.02
2019-06-30,38.81,$4.28,9.06
2019-03-31,35.46,$4.45,7.96
2018-12-31,34.67,$4.54,7.64
2018-09-30,40.34,$4.10,9.83
2018-06-30,42.05,$3.31,12.7
2018-03-31,38.62,$3.53,10.95
2017-12-31,37.96,$3.26,11.63
2017-09-30,40.51,$4.12,9.84
2017-06-30,36.23,$3.33,10.88
2017-03-31,34.4,$2.95,11.68
2016-12-31,38.82,$3.29,11.79
2016-09-30,27.67,$1.67,16.52
2016-06-30,25.85,$2.31,11.21
2016-03-31,25.2,$3.54,7.11
2015-12-31,26.43,$2.74,9.64
2015-09-30,25.5,$2.66,9.58
2015-06-30,25.95,$1.51,17.14
2015-03-31,24.89,$0.32,78.96
2014-12-31,25.95,$-0.15,0.0
2014-09-30,21.14,$0.63,33.42
2014-06-30,23.34,$2.43,9.62
2014-03-31,23.6,$3.29,7.18
2013-12-31,23.26,$4.70,4.95
2013-09-30,19.5,$3.65,5.35
2013-06-30,17.55,$0.81,21.56
2013-03-31,16.7,$0.76,22.1
2012-12-31,15.9,$0.12,135.24
2012-09-30,15.73,$1.42,11.08
2012-06-30,14.47,$2.31,6.27
2012-03-31,14.19,$1.68,8.47
2011-12-31,13.9,$2.14,6.5
2011-09-30,11.41,$2.20,5.19
2011-06-30,13.1,$2.20,5.95
2011-03-31,13.42,$2.22,6.04
2010-12-31,12.25,$1.83,6.68
2010-09-30,10.6,$-0.03,0.0
2010-06-30,9.35,$0.50,18.59
2010-03-31,10.11,$0.91,11.14
2009-12-31,8.36,$0.10,80.07
