Altus Power Price to Free Cash Flow Ratio Historical Data,Altus Power Price to Free Cash Flow Ratio Historical Data,Altus Power Price to Free Cash Flow Ratio Historical Data,Altus Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.94,,0.0
2024-09-30,3.18,$-0.22,0.0
2024-06-30,3.92,$-0.25,0.0
2024-03-31,4.78,$-0.25,0.0
2023-12-31,6.83,$-0.23,0.0
2023-09-30,5.25,$-0.44,0.0
2023-06-30,5.4,$-0.40,0.0
2023-03-31,5.48,$-0.29,0.0
2022-12-31,6.52,$-0.25,0.0
2022-09-30,11.01,$0.16,67.3
2022-06-30,6.31,$0.19,33.25
2022-03-31,7.43,$0.27,27.59
2021-12-31,10.45,$0.30,34.78
