Apyx Medical Price to Free Cash Flow Ratio Historical Data,Apyx Medical Price to Free Cash Flow Ratio Historical Data,Apyx Medical Price to Free Cash Flow Ratio Historical Data,Apyx Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.16,,0.0
2024-12-31,1.58,$-0.53,0.0
2024-09-30,1.24,$-0.52,0.0
2024-06-30,1.34,$-0.28,0.0
2024-03-31,1.36,$-0.08,0.0
2023-12-31,2.62,$0.04,61.07
2023-09-30,3.2,$-0.03,0.0
2023-06-30,5.03,$-0.29,0.0
2023-03-31,2.88,$-0.54,0.0
2022-12-31,2.34,$-0.62,0.0
2022-09-30,4.49,$-0.48,0.0
2022-06-30,5.86,$-0.43,0.0
2022-03-31,6.53,$-0.40,0.0
2021-12-31,12.82,$-0.33,0.0
2021-09-30,13.85,$-0.36,0.0
2021-06-30,10.31,$-0.33,0.0
2021-03-31,9.66,$-0.33,0.0
2020-12-31,7.2,$-0.49,0.0
2020-09-30,4.71,$-0.55,0.0
2020-06-30,5.55,$-0.61,0.0
2020-03-31,3.59,$-0.64,0.0
2019-12-31,8.46,$-0.58,0.0
2019-09-30,6.77,$-1.02,0.0
2019-06-30,6.72,$-0.90,0.0
2019-03-31,6.31,$-0.75,0.0
2018-12-31,6.48,$-0.63,0.0
2018-09-30,7.1,$-0.06,0.0
2018-06-30,4.35,$-0.06,0.0
2018-03-31,2.97,$-0.08,0.0
2017-12-31,2.6,$-0.13,0.0
2017-09-30,3.38,$-0.17,0.0
2017-06-30,2.47,$-0.15,0.0
2017-03-31,2.67,$-0.12,0.0
2016-12-31,3.59,$-0.11,0.0
2016-09-30,5.21,$-0.12,0.0
2016-06-30,1.64,$-0.13,0.0
2016-03-31,1.67,$-0.21,0.0
2015-12-31,2.1,$-0.22,0.0
2015-09-30,1.95,$-0.21,0.0
2015-06-30,2.79,$-0.18,0.0
2015-03-31,2.39,$-0.10,0.0
2014-12-31,3.68,$-0.06,0.0
2014-09-30,3.99,$-0.14,0.0
2014-06-30,3.63,$-0.16,0.0
2014-03-31,3.9,$-0.22,0.0
2013-12-31,2.15,$-0.18,0.0
2013-09-30,2.82,$-0.11,0.0
2013-06-30,2.95,$-0.13,0.0
2013-03-31,3.3,$-0.01,0.0
2012-12-31,2.42,$-0.03,0.0
2012-09-30,3.6,$-0.03,0.0
2012-06-30,2.39,$-0.02,0.0
2012-03-31,2.7,$-0.00,0.0
2011-12-31,2.12,$0.08,27.64
2011-09-30,2.92,$0.16,17.93
2011-06-30,2.61,$0.14,18.78
2011-03-31,3.1,$0.00,0.0
2010-12-31,3.28,$-0.01,0.0
2010-09-30,2.16,$-0.11,0.0
2010-06-30,2.98,$-0.09,0.0
2010-03-31,6.25,$-0.09,0.0
2009-12-31,7.81,$-0.14,0.0
