Stepan Price to Free Cash Flow Ratio Historical Data,Stepan Price to Free Cash Flow Ratio Historical Data,Stepan Price to Free Cash Flow Ratio Historical Data,Stepan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,58.88,,34.38
2024-12-31,64.7,$1.71,37.77
2024-09-30,76.87,$1.29,59.76
2024-06-30,83.14,$2.17,38.28
2024-03-31,89.16,$3.91,22.78
2023-12-31,93.23,$-3.72,0.0
2023-09-30,73.59,$-5.14,0.0
2023-06-30,93.42,$-7.55,0.0
2023-03-31,100.33,$-9.74,0.0
2022-12-31,103.31,$-6.10,0.0
2022-09-30,90.59,$-6.66,0.0
2022-06-30,97.71,$-6.89,0.0
2022-03-31,94.98,$-6.47,0.0
2021-12-31,119.08,$-5.23,0.0
2021-09-30,107.9,$-1.96,0.0
2021-06-30,114.6,$2.24,51.14
2021-03-31,120.84,$4.14,29.16
2020-12-31,113.15,$4.62,24.51
2020-09-30,103.1,$4.54,22.7
2020-06-30,91.63,$3.47,26.37
2020-03-31,83.24,$3.96,21.01
2019-12-31,96.11,$4.84,19.86
2019-09-30,90.81,$4.85,18.74
2019-06-30,85.77,$4.63,18.51
2019-03-31,81.44,$3.84,21.22
2018-12-31,68.67,$3.62,18.96
2018-09-30,80.75,$3.72,21.73
2018-06-30,72.21,$4.61,15.67
2018-03-31,76.76,$4.75,16.16
2017-12-31,72.68,$5.14,14.13
2017-09-30,76.79,$5.43,14.14
2017-06-30,79.77,$4.14,19.26
2017-03-31,71.97,$4.92,14.64
2016-12-31,74.22,$4.72,15.71
2016-09-30,66.01,$3.51,18.8
2016-06-30,53.94,$3.31,16.32
2016-03-31,49.93,$1.65,30.31
2015-12-31,44.71,$2.82,15.88
2015-09-30,37.31,$1.38,27.03
2015-06-30,48.32,$1.27,38.09
2015-03-31,37.07,$0.69,53.92
2014-12-31,35.5,$-0.84,0.0
2014-09-30,39.15,$1.10,35.51
2014-06-30,46.46,$1.47,31.67
2014-03-31,56.57,$2.57,21.99
2013-12-31,57.34,$2.51,22.88
2013-09-30,50.3,$1.02,49.43
2013-06-30,48.32,$1.30,37.04
2013-03-31,54.67,$0.52,104.89
2012-12-31,48.0,$1.14,42.27
2012-09-30,41.46,$2.65,15.64
2012-06-30,40.51,$2.33,17.42
2012-03-31,37.65,$1.15,32.67
2011-12-31,34.27,$-0.26,0.0
2011-09-30,28.61,$-2.11,0.0
2011-06-30,30.09,$-2.90,0.0
2011-03-31,30.65,$-2.22,0.0
2010-12-31,32.12,$-0.81,0.0
2010-09-30,24.8,$0.78,31.82
2010-06-30,28.59,$2.13,13.41
2010-03-31,23.27,$5.01,4.65
2009-12-31,26.86,$5.73,4.68
