Royal Bank Of Canada Price to Free Cash Flow Ratio Historical Data,Royal Bank Of Canada Price to Free Cash Flow Ratio Historical Data,Royal Bank Of Canada Price to Free Cash Flow Ratio Historical Data,Royal Bank Of Canada Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,113.81,,4.2
2025-01-31,121.93,$27.09,4.5
2024-10-31,120.89,$10.85,11.14
2024-07-31,110.47,$-4.25,0.0
2024-04-30,94.84,$-10.29,0.0
2024-01-31,94.62,$3.02,31.28
2023-10-31,76.64,$13.34,5.74
2023-07-31,93.94,$19.17,4.9
2023-04-30,93.15,$20.22,4.61
2023-01-31,95.07,$15.43,6.16
2022-10-31,85.04,$10.57,8.05
2022-07-31,88.76,$15.76,5.63
2022-04-30,91.02,$24.36,3.74
2022-01-31,101.82,$20.63,4.94
2021-10-31,92.08,$32.85,2.8
2021-07-31,88.82,$28.27,3.14
2021-04-30,83.06,$27.72,3.0
2021-01-31,69.76,$77.30,0.9
2020-10-31,59.77,$70.91,0.84
2020-07-31,58.35,$76.53,0.76
2020-04-30,51.42,$63.14,0.81
2020-01-31,65.07,$10.99,5.92
2019-10-31,65.82,$6.36,10.35
2019-07-31,63.76,$-2.62,0.0
2019-04-30,63.77,$3.87,16.47
2019-01-31,60.38,$6.15,9.82
2018-10-31,57.17,$8.31,6.88
2018-07-31,60.56,$14.82,4.09
2018-04-30,58.53,$12.37,4.73
2018-01-31,65.29,$23.00,2.84
2017-10-31,59.06,$18.87,3.13
2017-07-31,55.84,$20.78,2.69
2017-04-30,50.81,$15.86,3.2
2017-01-31,52.84,$14.04,3.76
2016-10-31,45.53,$13.24,3.44
2016-07-31,43.98,$9.60,4.58
2016-03-31,40.68,$18.77,2.17
2016-01-31,36.22,$16.84,2.15
2015-10-31,39.72,$12.82,3.1
2015-07-31,40.35,$-3.31,0.0
2015-04-30,45.5,$8.25,5.52
2015-01-31,38.37,$7.44,5.16
2014-10-31,47.77,$8.84,5.41
2014-07-31,49.08,$27.56,1.78
2014-04-30,44.02,$5.54,7.94
2014-01-31,40.39,$6.95,5.81
2013-10-31,43.44,$4.29,10.13
2013-07-31,39.9,$1.50,26.53
2013-04-30,38.31,$1.84,20.83
2013-01-31,39.12,$-3.58,0.0
2012-10-31,35.45,$-0.51,0.0
2012-07-31,31.45,$0.52,60.62
2012-04-30,35.16,$8.18,4.3
2012-01-31,31.54,$9.51,3.32
2011-10-31,29.17,$-2.29,0.0
2011-07-31,31.68,$-1.57,0.0
2011-04-30,36.75,$-6.62,0.0
2011-01-31,31.09,$-3.62,0.0
2010-10-31,30.87,$6.87,4.5
2010-07-31,29.96,$6.59,4.55
2010-04-30,34.36,$4.54,7.57
2010-01-31,27.63,$3.16,8.75
2009-10-31,28.12,$4.03,6.98
