CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data,CDW Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,168.09,,19.68
2024-12-31,174.04,$8.54,20.38
2024-09-30,225.52,$9.88,22.82
2024-06-30,222.47,$10.71,20.77
2024-03-31,253.54,$11.23,22.58
2023-12-31,224.76,$10.64,21.12
2023-09-30,198.92,$8.52,23.35
2023-06-30,180.39,$7.56,23.87
2023-03-31,190.91,$8.77,21.78
2022-12-31,174.43,$8.82,19.78
2022-09-30,151.98,$8.05,18.88
2022-06-30,153.01,$7.81,19.59
2022-03-31,173.18,$5.09,34.01
2021-12-31,197.66,$4.87,40.57
2021-09-30,175.25,$7.90,22.18
2021-06-30,167.81,$7.27,23.09
2021-03-31,158.88,$8.89,17.88
2020-12-31,126.02,$7.99,15.78
2020-09-30,113.96,$5.40,21.1
2020-06-30,110.39,$5.73,19.25
2020-03-31,88.31,$5.15,17.14
2019-12-31,134.85,$5.35,25.2
2019-09-30,116.02,$5.89,19.69
2019-06-30,104.23,$5.90,17.68
2019-03-31,90.23,$5.57,16.21
2018-12-31,75.65,$5.34,14.17
2018-09-30,82.72,$5.54,14.94
2018-06-30,74.98,$4.21,17.81
2018-03-31,65.08,$3.58,18.16
2017-12-31,64.13,$4.40,14.56
2017-09-30,60.72,$2.92,20.83
2017-06-30,57.38,$3.67,15.65
2017-03-31,52.81,$2.94,17.96
2016-12-31,47.54,$3.26,14.6
2016-09-30,41.6,$2.40,17.34
2016-06-30,36.38,$2.37,15.33
2016-03-31,37.57,$2.59,14.5
2015-12-31,37.95,$1.09,34.79
2015-09-30,36.8,$1.84,20.0
2015-06-30,30.82,$1.74,17.67
2015-03-31,33.42,$1.79,18.66
2014-12-31,31.51,$2.20,14.33
2014-09-30,27.76,$1.80,15.44
2014-06-30,28.46,$1.63,17.43
2014-03-31,24.46,$3.39,7.22
