Duluth Holdings Price to Free Cash Flow Ratio Historical Data,Duluth Holdings Price to Free Cash Flow Ratio Historical Data,Duluth Holdings Price to Free Cash Flow Ratio Historical Data,Duluth Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.11,,0.0
2024-10-31,3.7,$-0.08,0.0
2024-07-31,3.64,$0.07,50.98
2024-04-30,4.21,$-0.30,0.0
2024-01-31,4.88,$-0.32,0.0
2023-10-31,5.03,$-0.72,0.0
2023-07-31,7.26,$-0.03,0.0
2023-04-30,6.26,$-0.85,0.0
2023-01-31,6.65,$-0.86,0.0
2022-10-31,8.7,$-0.53,0.0
2022-07-31,9.64,$-0.00,0.0
2022-04-30,12.25,$1.08,11.34
2022-01-31,15.08,$2.49,6.06
2021-10-31,14.33,$3.14,4.57
2021-07-31,14.97,$2.52,5.95
2021-04-30,15.47,$2.66,5.81
2021-01-31,12.47,$1.18,10.56
2020-10-31,15.34,$0.31,49.66
2020-07-31,7.39,$-0.61,0.0
2020-04-30,4.01,$-1.15,0.0
2020-01-31,8.45,$-0.69,0.0
2019-10-31,9.24,$-0.75,0.0
2019-07-31,12.15,$-0.23,0.0
2019-04-30,15.92,$-0.61,0.0
2019-01-31,23.88,$-0.68,0.0
2018-10-31,30.73,$-0.40,0.0
2018-07-31,23.02,$-0.73,0.0
2018-04-30,17.35,$-0.93,0.0
2018-01-31,17.61,$-0.51,0.0
2017-10-31,20.66,$-1.05,0.0
2017-07-31,19.38,$-0.84,0.0
2017-04-30,22.15,$-0.40,0.0
2017-01-31,22.62,$-0.26,0.0
2016-10-31,27.15,$-1.21,0.0
