Latham Price to Free Cash Flow Ratio Historical Data,Latham Price to Free Cash Flow Ratio Historical Data,Latham Price to Free Cash Flow Ratio Historical Data,Latham Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.28,,17.6
2024-12-31,6.96,$0.36,19.51
2024-09-30,6.8,$0.56,12.07
2024-06-30,3.03,$0.69,4.38
2024-03-31,3.96,$0.61,6.51
2023-12-31,2.63,$0.74,3.57
2023-09-30,2.8,$0.67,4.2
2023-06-30,3.71,$0.33,11.4
2023-03-31,2.86,$0.28,10.16
2022-12-31,3.22,$-0.06,0.0
2022-09-30,3.59,$-0.22,0.0
2022-06-30,6.93,$-0.21,0.0
2022-03-31,13.24,$-0.49,0.0
