Silexion Therapeutics Corp Price to Free Cash Flow Ratio Historical Data,Silexion Therapeutics Corp Price to Free Cash Flow Ratio Historical Data,Silexion Therapeutics Corp Price to Free Cash Flow Ratio Historical Data,Silexion Therapeutics Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.11,,0.0
2024-12-31,2.01,$-13.49,0.0
2024-09-30,0.53,$-19.78,0.0
2024-06-30,11.75,$-42.32,0.0
2024-03-31,11.22,$-42.09,0.0
2023-12-31,10.85,$-39.95,0.0
2023-09-30,10.87,$-26.88,0.0
2023-06-30,10.53,$4.11,2.56
2023-03-31,10.28,$3.99,2.57
2022-12-31,10.07,$2.19,4.6
2022-09-30,9.93,$-0.64,0.0
2022-06-30,9.82,$-2.00,0.0
2022-03-31,9.78,$-4.21,0.0
