Enterprise Financial Services Price to Free Cash Flow Ratio Historical Data,Enterprise Financial Services Price to Free Cash Flow Ratio Historical Data,Enterprise Financial Services Price to Free Cash Flow Ratio Historical Data,Enterprise Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.63,,8.71
2024-12-31,56.4,$6.39,8.83
2024-09-30,51.02,$7.06,7.22
2024-06-30,40.51,$6.01,6.74
2024-03-31,39.88,$5.87,6.79
2023-12-31,43.62,$6.99,6.24
2023-09-30,36.43,$5.72,6.36
2023-06-30,37.74,$6.41,5.89
2023-03-31,42.79,$6.29,6.8
2022-12-31,46.73,$5.77,8.1
2022-09-30,41.82,$6.80,6.15
2022-06-30,39.22,$5.58,7.02
2022-03-31,44.47,$6.02,7.39
2021-12-31,44.08,$4.58,9.62
2021-09-30,42.21,$3.99,10.57
2021-06-30,43.05,$4.80,8.97
2021-03-31,45.71,$3.61,12.66
2020-12-31,32.2,$4.94,6.52
2020-09-30,25.0,$4.72,5.29
2020-06-30,28.36,$4.80,5.91
2020-03-31,25.28,$3.88,6.51
2019-12-31,43.41,$3.29,13.19
2019-09-30,36.56,$4.41,8.3
2019-06-30,37.18,$3.08,12.07
2019-03-31,36.3,$4.20,8.64
2018-12-31,33.4,$4.54,7.35
2018-09-30,46.94,$3.83,12.27
2018-06-30,47.63,$4.37,10.89
2018-03-31,41.32,$4.20,9.84
2017-12-31,39.69,$1.86,21.34
2017-09-30,37.13,$3.12,11.91
2017-06-30,35.67,$3.23,11.04
2017-03-31,36.98,$2.37,15.63
2016-12-31,37.41,$3.94,9.48
2016-09-30,27.11,$1.63,16.67
2016-06-30,24.11,$1.69,14.24
2016-03-31,23.29,$2.51,9.28
2015-12-31,24.34,$2.22,10.97
2015-09-30,21.55,$1.95,11.05
2015-06-30,19.44,$2.13,9.13
2015-03-31,17.59,$1.75,10.05
2014-12-31,16.75,$1.47,11.38
2014-09-30,14.16,$2.31,6.14
2014-06-30,15.25,$1.35,11.33
2014-03-31,16.89,$0.96,17.6
2013-12-31,17.14,$1.42,12.11
2013-09-30,14.15,$0.51,27.51
2013-06-30,13.32,$0.81,16.49
2013-03-31,11.93,$1.15,10.38
2012-12-31,10.83,$1.69,6.41
2012-09-30,11.23,$1.89,5.94
2012-06-30,9.01,$1.39,6.47
2012-03-31,9.6,$1.28,7.49
2011-12-31,12.05,$1.45,8.34
2011-09-30,11.03,$2.30,4.79
2011-06-30,10.94,$2.96,3.7
2011-03-31,11.32,$3.02,3.74
2010-12-31,8.38,$3.27,2.56
2010-09-30,7.42,$2.04,3.64
2010-06-30,7.64,$2.15,3.55
2010-03-31,8.72,$2.37,3.68
2009-12-31,6.04,$2.20,2.75
