Innovative Eyewear Price to Free Cash Flow Ratio Historical Data,Innovative Eyewear Price to Free Cash Flow Ratio Historical Data,Innovative Eyewear Price to Free Cash Flow Ratio Historical Data,Innovative Eyewear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.38,,0.0
2024-09-30,8.35,$-7.83,0.0
2024-06-30,0.5,$-8.21,0.0
2024-03-31,0.27,$-9.75,0.0
2023-12-31,0.42,$-11.11,0.0
2023-09-30,0.56,$-9.77,0.0
2023-06-30,0.89,$-16.56,0.0
