IHeartMedia Price to Free Cash Flow Ratio Historical Data,IHeartMedia Price to Free Cash Flow Ratio Historical Data,IHeartMedia Price to Free Cash Flow Ratio Historical Data,IHeartMedia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.68,,0.0
2024-12-31,1.98,$-0.15,0.0
2024-09-30,1.85,$0.96,1.93
2024-06-30,1.09,$1.24,0.88
2024-03-31,2.09,$1.48,1.41
2023-12-31,2.67,$1.12,2.38
2023-09-30,3.16,$1.28,2.47
2023-06-30,3.64,$0.99,3.67
2023-03-31,3.9,$1.57,2.49
2022-12-31,6.13,$2.00,3.07
2022-09-30,7.33,$1.25,5.85
2022-06-30,7.89,$1.22,6.47
2022-03-31,18.93,$0.43,44.27
2021-12-31,21.04,$1.26,16.72
2021-09-30,25.02,$1.24,20.15
2021-06-30,26.93,$0.90,29.84
2021-03-31,18.15,$0.79,22.84
2020-12-31,12.98,$0.91,14.27
2020-09-30,8.12,$1.76,4.61
2020-06-30,8.35,$2.66,3.14
