Vishay Intertechnology Price to Free Cash Flow Ratio Historical Data,Vishay Intertechnology Price to Free Cash Flow Ratio Historical Data,Vishay Intertechnology Price to Free Cash Flow Ratio Historical Data,Vishay Intertechnology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.21,,0.0
2024-12-31,16.94,$-1.05,0.0
2024-09-30,18.81,$-1.49,0.0
2024-06-30,22.06,$-1.02,0.0
2024-03-31,22.33,$-0.13,0.0
2023-12-31,23.5,$0.27,88.02
2023-09-30,24.13,$1.35,17.82
2023-06-30,28.59,$1.88,15.18
2023-03-31,21.92,$1.73,12.68
2022-12-31,20.8,$1.11,18.69
2022-09-30,17.08,$1.34,12.77
2022-06-30,17.02,$0.95,17.84
2022-03-31,18.61,$1.44,12.97
2021-12-31,20.66,$1.65,12.52
2021-09-30,18.89,$1.83,10.31
2021-06-30,21.11,$1.58,13.36
2021-03-31,22.45,$1.45,15.49
2020-12-31,19.23,$1.32,14.57
2020-09-30,14.39,$1.01,14.23
2020-06-30,14.02,$1.04,13.53
2020-03-31,13.15,$0.74,17.83
2019-12-31,19.31,$0.97,19.96
2019-09-30,15.28,$1.38,11.09
2019-06-30,14.83,$1.19,12.45
2019-03-31,16.48,$0.73,22.69
2018-12-31,16.0,$0.54,29.4
2018-09-30,18.01,$0.28,64.98
2018-06-30,20.45,$0.66,30.78
2018-03-31,16.34,$1.31,12.46
2017-12-31,18.16,$1.37,13.22
2017-09-30,16.4,$1.26,13.0
2017-06-30,14.43,$1.33,10.83
2017-03-31,14.25,$1.29,11.08
2016-12-31,13.98,$1.11,12.57
2016-09-30,12.11,$1.10,10.96
2016-06-30,10.6,$0.69,15.43
2016-03-31,10.39,$0.73,14.31
2015-12-31,10.2,$0.68,14.94
2015-09-30,8.17,$0.70,11.73
2015-06-30,9.78,$0.92,10.68
2015-03-31,11.52,$0.82,14.11
2014-12-31,11.74,$0.93,12.63
2014-09-30,11.81,$1.04,11.31
2014-06-30,12.75,$0.93,13.76
2014-03-31,12.2,$1.00,12.2
2013-12-31,10.83,$0.95,11.41
2013-09-30,10.53,$0.84,12.52
2013-06-30,11.34,$0.94,12.06
2013-03-31,11.11,$0.92,12.08
2012-12-31,8.68,$0.95,9.17
2012-09-30,8.03,$0.73,10.96
2012-06-30,7.7,$0.82,9.42
2012-03-31,9.93,$0.84,11.84
2011-12-31,7.34,$1.24,5.9
2011-09-30,6.83,$1.98,3.44
2011-06-30,12.28,$2.20,5.58
2011-03-31,14.49,$2.31,6.28
2010-12-31,11.99,$2.11,5.69
2010-09-30,7.9,$1.84,4.3
2010-06-30,5.72,$1.71,3.34
2010-03-31,7.56,$1.35,5.58
2009-12-31,6.17,$1.32,4.67
