Trinity Biotech Price to Free Cash Flow Ratio Historical Data,Trinity Biotech Price to Free Cash Flow Ratio Historical Data,Trinity Biotech Price to Free Cash Flow Ratio Historical Data,Trinity Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.68,,0.0
2024-09-30,1.1,$-0.75,0.0
2024-06-30,2.13,$-1.06,0.0
2024-03-31,2.04,$-1.55,0.0
2023-12-31,2.15,$-1.61,0.0
2023-09-30,3.68,$-1.47,0.0
2023-06-30,4.76,$-0.74,0.0
2023-03-31,4.7,$-0.36,0.0
2022-12-31,4.95,$-0.30,0.0
2022-09-30,5.36,$0.41,12.97
2022-06-30,6.13,$0.57,10.77
2022-03-31,5.3,$1.42,3.74
2021-12-31,7.15,$2.61,2.74
2021-09-30,10.8,$4.82,2.24
2021-06-30,14.7,$5.54,2.66
2021-03-31,18.8,$5.02,3.75
2020-12-31,19.05,$3.91,4.87
2020-09-30,10.1,$1.81,5.58
2020-06-30,10.9,$1.00,10.87
2020-03-31,5.5,$0.55,9.93
2019-12-31,5.17,$0.78,6.6
2019-09-30,6.05,$1.09,5.55
2019-06-30,8.25,$0.64,12.99
2019-03-31,14.25,$0.55,25.83
2018-12-31,11.45,$-0.06,0.0
2018-09-30,20.0,$0.02,921.66
2018-06-30,25.0,$0.36,68.93
2018-03-31,25.75,$0.85,30.3
2017-12-31,25.5,$0.82,31.07
2017-09-30,28.05,$1.90,14.75
2017-06-30,30.0,$1.82,16.52
2017-03-31,29.8,$2.89,10.32
2016-12-31,34.6,$1.06,32.57
2016-09-30,66.1,$1.53,43.31
2016-06-30,56.7,$1.24,45.8
2016-03-31,58.3,$-1.38,0.0
2015-12-31,58.8,$1.11,53.17
2015-09-30,57.2,$0.05,1194.15
2015-06-30,90.3,$1.83,49.4
2015-03-31,95.08,$2.54,37.49
2014-12-31,86.49,$1.66,52.21
2014-09-30,90.24,$2.18,41.47
2014-06-30,113.75,$0.34,338.35
2014-03-31,118.58,$0.53,222.32
2013-12-31,123.04,$1.01,122.36
2013-09-30,106.5,$1.28,83.0
2013-06-30,82.47,$-0.42,0.0
2013-03-31,81.67,$3.11,26.22
2012-12-31,69.77,$3.83,18.2
2012-09-30,60.81,$3.13,19.42
2012-06-30,58.06,$5.93,9.79
2012-03-31,50.95,$3.70,13.78
2011-12-31,48.61,$4.26,11.4
2011-09-30,43.74,$7.09,6.17
2011-06-30,47.46,$4.71,10.07
2011-03-31,44.34,$4.97,8.93
2010-12-31,41.65,$4.76,8.76
2010-09-30,29.92,$2.96,10.09
2010-06-30,28.74,$4.11,7.0
2010-03-31,25.76,$3.63,7.1
2009-12-31,19.1,$2.96,6.44
