Golden Matrix Price to Free Cash Flow Ratio Historical Data,Golden Matrix Price to Free Cash Flow Ratio Historical Data,Golden Matrix Price to Free Cash Flow Ratio Historical Data,Golden Matrix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.07,,75.27
2024-09-30,2.33,$0.03,84.73
2024-06-30,2.47,$-0.13,0.0
2024-01-31,2.87,$-0.03,0.0
2023-12-31,2.41,$-0.09,0.0
2023-10-31,2.54,$-0.02,0.0
2023-09-30,2.94,$0.13,22.6
2023-07-31,2.05,$0.03,70.69
2023-06-30,2.62,$0.02,141.88
2023-04-30,2.26,$-0.05,0.0
2023-01-31,3.26,$0.01,276.27
