Premier Price to Free Cash Flow Ratio Historical Data,Premier Price to Free Cash Flow Ratio Historical Data,Premier Price to Free Cash Flow Ratio Historical Data,Premier Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.71,,5.4
2024-12-31,21.2,$3.47,6.11
2024-09-30,19.82,$1.87,10.58
2024-06-30,18.31,$1.88,9.73
2024-03-31,21.44,$1.85,11.6
2023-12-31,21.47,$1.58,13.55
2023-09-30,20.44,$3.06,6.68
2023-06-30,26.04,$3.02,8.62
2023-03-31,30.22,$2.92,10.34
2022-12-31,32.45,$2.99,10.85
2022-09-30,31.29,$3.12,10.02
2022-06-30,32.69,$2.93,11.15
2022-03-31,32.44,$3.98,8.16
2021-12-31,37.32,$3.39,10.99
2021-09-30,34.94,$2.93,11.94
2021-06-30,31.2,$2.71,11.51
2021-03-31,30.18,$1.55,19.51
2020-12-31,31.12,$-0.24,0.0
2020-09-30,28.95,$1.42,20.39
2020-06-30,30.06,$2.06,14.56
2020-03-31,28.69,$6.27,4.58
2019-12-31,33.21,$8.69,3.82
2019-09-30,25.36,$7.01,3.62
2019-06-30,34.29,$7.04,4.87
2019-03-31,30.24,$-0.35,0.0
2018-12-31,32.75,$3.05,10.72
2018-09-30,40.14,$3.34,12.0
2018-06-30,31.9,$3.02,10.55
2018-03-31,27.45,$7.66,3.58
2017-12-31,25.59,$6.84,3.74
2017-09-30,28.56,$6.61,4.32
2017-06-30,31.56,$6.37,4.96
2017-03-31,27.91,$4.94,5.65
2016-12-31,26.62,$0.46,58.18
2016-09-30,28.36,$2.16,13.11
2016-06-30,28.67,$2.03,14.15
2016-03-31,29.25,$4.23,6.91
2015-12-31,30.92,$7.12,4.34
2015-09-30,30.14,$7.29,4.14
2015-06-30,33.72,$8.22,4.1
2015-03-31,32.95,$10.02,3.29
2014-12-31,29.4,$10.27,2.86
2014-09-30,28.81,$3.48,8.29
2014-06-30,25.43,$12.19,2.09
