Atlanta Braves Holdings Price to Free Cash Flow Ratio Historical Data,Atlanta Braves Holdings Price to Free Cash Flow Ratio Historical Data,Atlanta Braves Holdings Price to Free Cash Flow Ratio Historical Data,Atlanta Braves Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.85,,inf
2024-12-31,38.26,0.0,0.0
2024-09-30,39.8,0.0,0.0
2024-06-30,39.44,0.0,0.0
