Cognyte Software Price to Free Cash Flow Ratio Historical Data,Cognyte Software Price to Free Cash Flow Ratio Historical Data,Cognyte Software Price to Free Cash Flow Ratio Historical Data,Cognyte Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.35,,22.42
2024-10-31,6.49,$0.37,17.42
2024-07-31,7.63,$0.23,32.87
2024-04-30,6.82,$0.40,17.23
2024-01-31,7.08,$0.36,19.46
2023-10-31,4.18,$0.36,11.73
2023-07-31,5.42,$0.08,69.31
2023-04-30,4.16,$-0.30,0.0
2023-01-31,3.79,$-0.72,0.0
2022-10-31,2.72,$-0.99,0.0
2022-07-31,4.51,$-0.61,0.0
2022-04-30,6.78,$-0.53,0.0
2022-01-31,10.85,$-0.23,0.0
