ICC Holdings Price to Free Cash Flow Ratio Historical Data,ICC Holdings Price to Free Cash Flow Ratio Historical Data,ICC Holdings Price to Free Cash Flow Ratio Historical Data,ICC Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-12,23.49,,5.26
2024-09-30,22.93,$4.47,5.13
2024-06-30,22.63,$2.66,8.5
2024-03-31,16.0,$3.57,4.48
2023-12-31,15.3,$2.67,5.73
2023-09-30,16.1,$4.23,3.81
2023-06-30,15.83,$4.13,3.83
2023-03-31,15.5,$3.01,5.15
2022-12-31,15.75,$3.32,4.75
2022-09-30,15.25,$3.32,4.6
2022-06-30,16.01,$2.54,6.32
2022-03-31,17.05,$2.37,7.18
2021-12-31,16.75,$1.46,11.5
2021-09-30,16.5,$1.28,12.89
2021-06-30,16.01,$0.85,18.89
2021-03-31,14.78,$0.52,28.28
2020-12-31,14.3,$0.41,34.9
2020-09-30,11.7,$1.38,8.48
2020-06-30,11.14,$0.97,11.44
2020-03-31,11.02,$0.38,29.1
2019-12-31,14.09,$0.71,19.79
2019-09-30,13.75,$-0.09,0.0
2019-06-30,13.86,$1.25,11.09
2019-03-31,13.52,$2.56,5.27
2018-12-31,13.65,$1.70,8.03
2018-09-30,15.01,$0.92,16.4
2018-06-30,15.99,$1.01,15.85
2018-03-31,15.69,$-0.22,0.0
2017-12-31,16.27,$0.06,251.86
