Kingsway Financial Services Price to Free Cash Flow Ratio Historical Data,Kingsway Financial Services Price to Free Cash Flow Ratio Historical Data,Kingsway Financial Services Price to Free Cash Flow Ratio Historical Data,Kingsway Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.41,,101.65
2024-09-30,8.28,$0.07,113.58
2024-06-30,8.24,$0.07,126.38
2024-03-31,8.34,$-0.10,0.0
2023-12-31,8.4,$-0.91,0.0
2023-09-30,7.55,$-2.08,0.0
2023-06-30,8.15,$-1.99,0.0
2023-03-31,8.81,$-1.69,0.0
2022-12-31,7.93,$-0.75,0.0
2022-09-30,6.94,$0.42,16.53
2022-06-30,5.7,$0.50,11.32
2022-03-31,5.5,$-0.13,0.0
2021-12-31,5.48,$-0.30,0.0
2021-09-30,5.36,$-0.30,0.0
2021-06-30,5.0,$-0.42,0.0
2021-03-31,4.65,$0.03,136.36
2020-12-31,4.7,$0.07,71.43
2020-09-30,2.95,$-0.03,0.0
2020-06-30,2.24,$-0.25,0.0
2020-03-31,1.98,$0.12,17.02
2019-12-31,1.86,$-0.04,0.0
2019-09-30,2.21,$0.23,9.64
2019-06-30,2.45,$-0.04,0.0
2019-03-31,3.1,$-0.50,0.0
2018-12-31,2.87,$-0.44,0.0
2018-09-30,2.8,$-0.58,0.0
2018-06-30,2.75,$-0.36,0.0
2018-03-31,4.0,$-0.17,0.0
2017-12-31,5.05,$-0.46,0.0
2017-09-30,6.1,$-0.86,0.0
2017-06-30,6.05,$-0.88,0.0
2017-03-31,5.8,$-0.97,0.0
2016-12-31,6.25,$-0.81,0.0
2016-09-30,5.74,$-1.64,0.0
2016-06-30,5.37,$-1.57,0.0
2016-03-31,4.75,$-1.89,0.0
2015-12-31,4.57,$-1.67,0.0
2015-09-30,4.62,$-0.32,0.0
2015-06-30,5.97,$-0.09,0.0
2015-03-31,5.75,$-0.17,0.0
2014-12-31,5.55,$-0.67,0.0
2014-09-30,6.28,$-1.08,0.0
2014-06-30,6.27,$-2.05,0.0
2014-03-31,4.06,$-2.67,0.0
2013-12-31,3.9,$-3.04,0.0
2013-09-30,2.5,$-3.32,0.0
2013-06-30,2.75,$-3.14,0.0
2013-03-31,2.79,$-3.13,0.0
2012-12-31,2.32,$-3.56,0.0
2012-09-30,1.11,$-4.46,0.0
2012-06-30,1.01,$-5.49,0.0
2012-03-31,0.8,$-5.99,0.0
2011-12-31,0.35,$-5.85,0.0
2011-09-30,0.29,$2.45,0.12
2011-06-30,0.27,$-0.04,0.0
2011-03-31,0.18,$-0.91,0.0
2010-12-31,0.21,$-5.49,0.0
2010-09-30,0.18,$-45.78,0.0
2010-06-30,0.16,$-47.07,0.0
2010-03-31,0.12,$-49.88,0.0
2009-12-31,0.11,$-51.69,0.0
