Zenvia Price to Free Cash Flow Ratio Historical Data,Zenvia Price to Free Cash Flow Ratio Historical Data,Zenvia Price to Free Cash Flow Ratio Historical Data,Zenvia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.52,,7.38
2024-09-30,1.5,$0.21,7.31
2024-06-30,2.59,$0.07,36.38
2024-03-31,2.66,$0.25,10.46
2023-12-31,1.18,$0.77,1.54
2023-09-30,1.05,$0.89,1.17
2023-06-30,0.76,$1.12,0.68
2023-03-31,1.0,$1.04,0.96
2022-12-31,1.15,$0.47,2.44
2022-09-30,1.61,$0.32,5.1
2022-06-30,2.11,$-0.55,0.0
