Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data,Eli Lilly Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,842.57,,202.58
2024-12-31,772.0,$4.16,185.62
2024-09-30,884.4,$1.53,576.31
2024-06-30,902.55,$0.28,3174.63
2024-03-31,774.25,$-0.10,0.0
2023-12-31,579.14,$0.88,660.07
2023-09-30,532.66,$3.70,144.08
2023-06-30,464.11,$4.11,113.05
2023-03-31,338.97,$5.13,66.06
2022-12-31,359.93,$6.34,56.81
2022-09-30,317.25,$7.21,43.99
2022-06-30,317.11,$6.87,46.18
2022-03-31,279.14,$7.49,37.26
2021-12-31,268.13,$6.64,40.36
2021-09-30,223.55,$5.97,37.43
2021-06-30,221.35,$6.10,36.28
2021-03-31,179.39,$7.00,25.64
2020-12-31,161.45,$5.60,28.82
2020-09-30,140.8,$5.82,24.18
2020-06-30,155.41,$5.64,27.57
2020-03-31,130.7,$4.09,31.95
2019-12-31,123.19,$4.06,30.31
2019-09-30,104.21,$3.36,31.06
2019-06-30,103.24,$3.80,27.16
2019-03-31,120.26,$4.09,29.39
2018-12-31,106.68,$4.17,25.56
2018-09-30,98.42,$4.42,22.25
2018-06-30,77.83,$4.17,18.68
2018-03-31,70.09,$4.34,16.14
2017-12-31,75.95,$4.31,17.6
2017-09-30,76.44,$4.64,16.48
2017-06-30,73.08,$4.44,16.47
2017-03-31,74.21,$4.17,17.78
2016-12-31,64.46,$3.66,17.61
2016-09-30,69.88,$2.75,25.37
2016-06-30,68.14,$2.18,31.21
2016-03-31,61.89,$1.77,34.9
2015-12-31,71.92,$1.87,38.5
2015-09-30,70.99,$2.18,32.58
2015-06-30,70.4,$2.70,26.09
2015-03-31,60.84,$2.76,22.04
2014-12-31,57.37,$3.08,18.61
2014-09-30,53.53,$3.43,15.59
2014-06-30,50.91,$3.74,13.62
2014-03-31,47.81,$4.38,10.91
2013-12-31,41.05,$4.52,9.08
2013-09-30,40.12,$4.28,9.37
2013-06-30,38.81,$3.89,9.97
2013-03-31,44.48,$3.51,12.67
2012-12-31,38.28,$3.96,9.67
2012-09-30,36.42,$4.41,8.27
2012-06-30,32.59,$4.89,6.66
2012-03-31,30.22,$5.60,5.4
2011-12-31,30.8,$5.91,5.21
2011-09-30,27.05,$6.18,4.37
2011-06-30,27.08,$5.92,4.57
2011-03-31,25.06,$5.81,4.32
2010-12-31,24.61,$5.60,4.4
2010-09-30,25.31,$5.41,4.68
2010-06-30,22.9,$5.00,4.58
2010-03-31,24.42,$4.09,5.98
2009-12-31,23.73,$3.27,7.26
