Motorola Solutions Price to Free Cash Flow Ratio Historical Data,Motorola Solutions Price to Free Cash Flow Ratio Historical Data,Motorola Solutions Price to Free Cash Flow Ratio Historical Data,Motorola Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,422.28,,33.8
2024-12-31,462.23,$12.49,37.0
2024-09-30,448.59,$13.48,33.27
2024-06-30,384.3,$13.16,29.19
2024-03-31,352.45,$12.79,27.56
2023-12-31,309.98,$10.41,29.79
2023-09-30,268.7,$10.63,25.28
2023-06-30,288.57,$8.70,33.16
2023-03-31,280.65,$8.19,34.27
2022-12-31,251.94,$9.12,27.64
2022-09-30,218.23,$5.81,37.54
2022-06-30,203.57,$5.75,35.41
2022-03-31,234.32,$7.95,29.49
2021-12-31,261.91,$9.22,28.42
2021-09-30,223.27,$9.19,24.29
2021-06-30,207.79,$9.38,22.15
2021-03-31,179.59,$8.38,21.43
2020-12-31,161.77,$8.34,19.4
2020-09-30,148.53,$8.94,16.61
2020-06-30,132.19,$9.60,13.76
2020-03-31,124.82,$9.75,12.81
2019-12-31,150.64,$9.01,16.72
2019-09-30,158.68,$9.08,17.48
2019-06-30,154.72,$8.14,19.01
2019-03-31,129.84,$9.34,13.91
2018-12-31,105.94,$5.10,20.75
2018-09-30,119.32,$5.41,22.06
2018-06-30,106.26,$4.81,22.11
2018-03-31,95.71,$3.26,29.34
2017-12-31,81.73,$6.87,11.9
2017-09-30,76.35,$4.83,15.81
2017-06-30,77.6,$5.55,13.98
2017-03-31,76.71,$6.24,12.3
2016-12-31,73.33,$5.59,13.13
2016-09-30,67.1,$4.83,13.88
2016-06-30,57.72,$4.31,13.38
2016-03-31,65.83,$3.42,19.23
2015-12-31,59.19,$4.21,14.07
2015-09-30,58.77,$-0.48,0.0
2015-06-30,49.04,$-2.40,0.0
2015-03-31,56.69,$-2.61,0.0
2014-12-31,56.74,$-3.20,0.0
2014-09-30,53.24,$1.78,29.9
2014-06-30,55.7,$2.55,21.85
2014-03-31,53.54,$1.93,27.8
2013-12-31,55.95,$1.67,33.48
2013-09-30,48.98,$0.16,301.06
2013-06-30,47.37,$0.54,87.88
2013-03-31,52.29,$1.58,33.19
2012-12-31,45.28,$1.91,23.67
2012-09-30,40.92,$1.18,34.63
2012-06-30,38.74,$1.97,19.71
2012-03-31,40.74,$1.43,28.53
2011-12-31,36.94,$1.97,18.79
2011-09-30,33.28,$2.81,11.84
2011-06-30,36.37,$2.32,15.65
2011-03-31,35.3,$2.34,15.08
2010-12-31,28.97,$1.89,15.35
2010-09-30,27.24,$5.41,5.03
2010-06-30,20.82,$4.84,4.3
2010-03-31,22.42,$4.94,4.53
2009-12-31,24.78,$1.48,16.77
