Galiano Gold Price to Free Cash Flow Ratio Historical Data,Galiano Gold Price to Free Cash Flow Ratio Historical Data,Galiano Gold Price to Free Cash Flow Ratio Historical Data,Galiano Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.31,,0.0
2024-09-30,1.42,$-0.01,0.0
2024-06-30,1.72,$-0.02,0.0
2024-03-31,1.4,$0.01,130.84
2023-12-31,0.94,$-0.02,0.0
2023-09-30,0.59,$-0.01,0.0
2023-06-30,0.59,$0.00,0.0
2023-03-31,0.58,$0.02,29.91
2022-12-31,0.52,$0.01,0.0
2022-09-30,0.49,$-0.01,0.0
2022-06-30,0.4,$-0.03,0.0
2022-03-31,0.55,$-0.05,0.0
2021-12-31,0.7,$-0.06,0.0
2021-09-30,0.72,$-0.06,0.0
2021-06-30,1.09,$-0.06,0.0
2021-03-31,1.12,$-0.05,0.0
2020-12-31,1.13,$-0.03,0.0
2020-09-30,1.38,$-0.03,0.0
2020-06-30,1.33,$-0.03,0.0
2020-03-31,0.79,$-0.04,0.0
2019-12-31,0.95,$-0.04,0.0
2019-09-30,0.91,$-0.04,0.0
2019-06-30,0.63,$-0.03,0.0
2019-03-31,0.62,$-0.06,0.0
2018-12-31,0.64,$-0.09,0.0
2018-09-30,0.81,$-0.12,0.0
2018-06-30,1.07,$-0.07,0.0
2018-03-31,1.0,$0.02,64.52
2017-12-31,0.71,$-0.00,0.0
2017-09-30,0.95,$0.04,22.07
2017-06-30,1.53,$0.03,55.64
2017-03-31,2.61,$-0.20,0.0
2016-12-31,3.06,$-0.39,0.0
2016-09-30,4.2,$-0.74,0.0
2016-06-30,3.81,$-1.11,0.0
2016-03-31,2.13,$-1.23,0.0
2015-12-31,1.46,$-1.18,0.0
2015-09-30,1.47,$-1.10,0.0
2015-06-30,1.71,$-0.88,0.0
2015-03-31,1.45,$-0.61,0.0
2014-12-31,1.54,$-0.55,0.0
2014-09-30,2.08,$-0.28,0.0
2014-06-30,2.59,$-0.17,0.0
2014-03-31,2.07,$-0.20,0.0
2013-12-31,1.64,$-0.13,0.0
2013-09-30,2.3,$-0.05,0.0
2013-06-30,2.1,$-0.06,0.0
2013-03-31,3.29,$0.26,12.45
2012-12-31,3.96,$-0.00,0.0
2012-09-30,3.71,$-0.11,0.0
2012-06-30,2.95,$-0.35,0.0
2012-03-31,3.76,$-0.62,0.0
2011-12-31,3.83,$-0.28,0.0
2011-09-30,5.04,$-0.29,0.0
2011-06-30,7.73,$0.05,156.16
2011-03-31,8.68,$-0.08,0.0
2010-12-31,8.79,$-0.08,0.0
2010-09-30,7.6,$-0.06,0.0
2010-06-30,5.32,$-0.13,0.0
2010-03-31,6.06,$0.11,54.16
2009-12-31,6.32,0,0.0
