Actinium Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Actinium Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Actinium Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Actinium Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.41,,0.0
2024-09-30,1.88,$-1.19,0.0
2024-06-30,7.4,$-1.20,0.0
2024-03-31,7.83,$-1.46,0.0
2023-12-31,5.08,$-1.79,0.0
2023-09-30,5.92,$-1.77,0.0
2023-06-30,7.42,$-1.68,0.0
2023-03-31,9.45,$0.01,647.26
2022-12-31,10.65,$0.34,31.06
2022-09-30,7.38,$0.36,20.6
2022-06-30,4.81,$0.41,11.76
2022-03-31,5.11,$-0.98,0.0
2021-12-31,6.01,$-1.02,0.0
2021-09-30,8.86,$-1.55,0.0
2021-06-30,7.91,$-1.40,0.0
2021-03-31,7.62,$-1.10,0.0
2020-12-31,7.8,$-1.80,0.0
2020-09-30,9.69,$-2.29,0.0
2020-06-30,10.55,$-3.08,0.0
2020-03-31,5.82,$-3.92,0.0
2019-12-31,6.53,$-4.33,0.0
2019-09-30,6.9,$-4.43,0.0
2019-06-30,7.38,$-5.37,0.0
2019-03-31,14.4,$-5.42,0.0
2018-12-31,11.61,$-5.85,0.0
2018-09-30,22.25,$-6.54,0.0
2018-06-30,19.2,$-5.88,0.0
2018-03-31,10.95,$-8.67,0.0
2017-12-31,19.91,$-9.71,0.0
2017-09-30,17.25,$-10.08,0.0
2017-06-30,36.6,$-12.27,0.0
2017-03-31,45.3,$-12.57,0.0
2016-12-31,26.25,$-12.92,0.0
2016-09-30,40.5,$-14.43,0.0
2016-06-30,53.1,$-12.67,0.0
2016-03-31,59.7,$-12.63,0.0
2015-12-31,96.9,$-14.63,0.0
2015-09-30,53.1,$-16.61,0.0
2015-06-30,79.5,$-20.65,0.0
2015-03-31,74.1,$-18.20,0.0
2014-12-31,176.7,$-15.91,0.0
2014-09-30,201.0,$-11.98,0.0
2014-06-30,216.6,$-8.17,0.0
2014-03-31,373.5,$-8.05,0.0
2013-12-31,176.7,$-8.33,0.0
2013-09-30,190.5,$-148.09,0.0
